numero_questao,enunciado,alternativas,nu_param_B,gabarito
56,"Mulheres naturalistas raramente figuraram na corrida por conhecer terras exóticas.
No século XIX, mulheres como Lady Charlotte Canning eventualmente coletavam
espécimes botânicos, mas quase sempre no papel de esposas coloniais, viajando para
locais onde seus maridos as levavam e não em busca de seus próprios projetos
científicos.
SOMBRIO, M. M. O. Em busca pelo campo — Mulheres em expedições científicas 
no Brasil em meados do século XX. Cadernos Pagu, n. 48, 2016.
No contexto do século XIX, a relação das mulheres com o campo científico, descrita no
texto, é representativa da",A: afirmação da igualdade de gênero.; B: transformação dos espaços de lazer.; C: superação do pensamento patriarcal.; D: incorporação das estratificações sociais.; E: substituição das atividades domésticas.,1.56953,D
57,"Nos setores mais altamente desenvolvidos da sociedade contemporânea, o
transplante de necessidades sociais para individuais é de tal modo eficaz que a diferença
entre elas parece puramente teórica. As criaturas se reconhecem em suas mercadorias;
encontram sua alma em seu automóvel, casa em patamares, utensílios de cozinha.
MARCUSE, H. A ideologia da sociedade industrial: o homem unidimensional. Rio de Janeiro: Zahar, 1979.
O texto indica que, no capitalismo, a satisfação dos desejos pessoais é influenciada por",A: políticas estatais de divulgação.; B: incentivos controlados de consumo.; C: prescrições coletivas de organização.; D: mecanismos subjetivos de identificação.; E: repressões racionalizadas do narcisismo.,1.43975,D
58,"A vida das pessoas se modifica com a mesma rapidez com que se reproduz a
cidade. O lugar da festa, do encontro quase desaparecem; o número de brincadeiras
infantis nas ruas diminui — as crianças quase não são vistas; os pedaços da cidade são
vendidos, no mercado, como mercadorias; árvores são destruídas, praças transformadas
em concreto. Por outro lado, os habitantes parecem perder na cidade suas próprias
referências. A imagem de uma grande cidade hoje é tão mutante que se assemelha à de
um grande guindaste, aliás, a presença maciça destes, das britadeiras, das betoneiras
nos dão o limite do processo de transformação diária ao qual está submetida a cidade.
CARLOS, A. F. A. A cidade. São Paulo: Contexto, 2011 (adaptado).
No contexto das grandes cidades brasileiras, a situação apresentada no texto vem
ocorrendo como consequência da",A: manutenção dos modos de convívio social.; B: preservação da essência do espaço público.; C: ampliação das normas de controle ambiental.; D: flexibilização das regras de participação política.; E: alteração da organização da paisagem geográfica.,0.61191,E
59,"No semiárido brasileiro, o sertanejo desenvolveu uma acuidade detalhada para a
observação dos fenômenos, ao longo dos tempos, presenciados na natureza, em especial
para a previsão do tempo e do clima, utilizando como referência a posição dos astros,
constelação e nuvens. Conforme os sertanejos, a estação vai ser chuvosa quando a
primeira lua cheia de janeiro “sair vermelha, por detrás de uma barra de nuvens”, mas “se
surgir prateada, é sinal de seca”.
MAIA, D.; MAIA, A. C. A utilização dos ditos populares e da observação do tempo para a climatologia escolar no
ensino fundamental II. GeoTextos, n. 1, jul. 2010 (adaptado).
O texto expõe a produção de um conhecimento que se constitui pela",A: técnica científica.; B: experiência perceptiva.; C: negação das tradições.; D: padronização das culturas.; E: uniformização das informações.,0.36928,B
60,"Vocês que fazem parte dessa massa 
Que passa nos projetos do futuro 
É duro tanto ter que caminhar 
E dar muito mais do que receber 
Ê, ô, ô, vida de gado 
Povo marcado 
Ê, povo feliz!
ZÉ RAMALHO. A peleja do diabo com o dono do céu. Rio de Janeiro: Sony, 1979 (fragmento).
Qual comportamento coletivo é criticado no trecho da letra da canção lançada em 1979?",A: Militância política.; B: Passividade social.; C: Altruísmo religioso.; D: Autocontrole moral.; E: Inconformismo eleitoral.,0.89984,B
61,"Desde 2009, a área portuária carioca vem sofrendo grandes transformações
realizadas no escopo da operação urbana consorciada conhecida como Porto Maravilha.
Parte importante na tentativa de tornar o Rio de Janeiro um polo de serviços internacional,
a “revitalização” urbana de veria deixar para trás uma paisagem geográfica que ainda
recordava a cidade do início do século passa do para abrir espaço, em seu lugar, à
instalação de modernas torres comerciais, espaços de consumo e lazer inéditos e cerca
de cem mil novos moradores, uma nova configuração socioespacial capaz de alçar a área
por tuária do Rio de Janeiro ao patamar dos waterfronts de Baltimore, Barcelona e Buenos
Aires.
LACERDA, L.; WERNECK, M.; RIBEIRO, B. Cortiços de hoje na cidade do amanhã. 
E-metropolis, n. 30, set. 2017.
As intervenções urbanas descritas derivam de um processo socioespacial que busca a",A: intensificação da participação na competitividade global.; B: contenção da especulação no mercado imobiliário.; C: democratização da habitação popular.; D: valorização das funções tradicionais.; E: priorização da gestão participativa.,0.2371,A
62,"Constatou-se uma ínfima inserção da indústria brasileira nas novas tecnologias
ancoradas na microeletrônica, capazes de acarretar elevação da produtividade nacional
de forma sustentada. Os motores do crescimento nacional, há décadas, são os grupos
relacionados a commodities agroindustriais e à indústria representativa do antigo padrão
fordista de produção, esta última também limitada pela baixa potencialidade futura de
desencadear inovações tecnológicas capazes de proporcionar elevação sustentada da
produtividade. 
AREND, M. A industrialização do Brasil ante a nova divisão internacional do trabalho. 
Disponível em: www.ipea.gov.br. Acesso em: 16 jul. 2015 (adaptado).
Um efeito desse cenário para a sociedade brasileira tem sido o(a)",A: barateamento da cesta básica.; B: retorno à estatização econômica.; C: ampliação do poder de consumo.; D: subordinação aos fluxos globais.; E: incentivo à política de modernização.,1.72549,D
63,"As atividades mineradoras têm criado conflitos com extrativistas, quilombolas,
pequenos agricultores, ribeirinhos, pescadores artesanais e povos indígenas. Em geral,
estes sujeitos têm encontrado grande dificuldade de reproduzir suas dinâmicas territoriais
depois da instalação da atividade mineradora, nem sempre com reconhecimento do
impacto ao seu território pelo Estado e pela empresa, ficando sem qualquer tipo de
compensação econômica. Em outros casos, nem a compensação econômica tem sido
capaz de evitar o esgarçamento das relações sociais destes grupos que sofrem com a
reconstrução abrupta das suas identidades e de suas dinâmicas territoriais.
PALHETA, J. M. et al. Conflitos pelo uso do território na Amazônia mineral. Mercator, n. 16, 2017.
O texto apresenta uma relação entre atividade econômica e organização social marcada
pelo(a)",A: escassez de incentivo cultural.; B: rompimento de vínculos locais.; C: carência de investimento financeiro.; D: estabelecimento de práticas agroecológicas.; E: enriquecimento das comunidades autóctones.,1.20976,B
64,"Por maioria, nós não entendemos uma quantidade relativa maior, mas a
determinação de um estado ou de um padrão em relação ao qual tanto as quantidades
maiores quanto as menores serão ditas minoritárias. Maioria supõe um estado de
dominação. É nesse sentido que as mulheres, as crianças e também os animais são
minoritários.
DELEUZE, G.; GUATTARI, F. Mil platôs. São Paulo: Editora 34, 2012 (adaptado).
No texto, a caracterização de uma minoria decorre da existência de",A: ameaças de extinção social.; B: políticas de incentivos estatais.; C: relações de natureza arbitrária.; D: valorações de conexões simétricas.; E: hierarquizações de origem biológica.,1.84941,C
65,"Ao mesmo tempo, graças às amplas possibilidades que tive de observar a classe
média, vossa adversária, rapidamente concluí que vós tendes razão, inteira razão, em
não esperar dela qualquer ajuda. Seus interesses são diametralmente opostos aos
vossos, mesmo que ela procure incessantemente afirmar o contrário e vos queira
persuadir que sente a maior simpatia por vossa sorte. Mas seus atos desmentem suas
palavras.
ENGELS, F. A situação da classe trabalhadora na Inglaterra. São Paulo: Boitempo, 2010.
No texto, o autor apresenta delineamentos éticos que correspondem ao(s)",A: conceito de luta de classes.; B: alicerce da ideia de mais-valia.; C: fundamentos do método científico.; D: paradigmas do processo indagativo.; E: domínios do fetichismo da mercadoria.,-0.32296,A
66,"Houve crescimento de 74% da população brasileira encarcerada entre 2005 e 2012.
As análises possibilitaram identificar o perfil da população que está nas prisões do país:
homens, jovens (abaixo de 29 anos), negros, com ensino fundamental incompleto,
acusados de crimes patrimoniais e, no caso dos presos adultos, condenados e cumprindo
regime fechado e, majoritariamente, com penas de quatro até oito anos.
BRASIL. Mapa do encarceramento: os jovens do Brasil. Brasília: Presidência da República, 2015.
Nesse contexto, as políticas públicas para minimizar a problemática descrita devem
privilegiar a",A: flexibilização do Código Civil.; B: promoção da inclusão social.; C: redução da maioridade penal.; D: contenção da corrupção política.; E: expansão do período de reclusão.,0.47062,B
67,"Nem guerras, nem revoltas. Os incêndios eram o mais frequente tormento da vida
urbana no Regnum Italicum. Entre 880 e 1080, as cidades estiveram constantemente
entregues ao apetite das chamas. A certa altura, a documentação parece vencer pela
insistência do vocabulário, levando até o leitor mais crítico a cogitar que os medievais
tinham razão ao tratar aqueles acontecimentos como castigos que antecediam o
julgamento final. Como um quinto cavaleiro apocalíptico, o incêndio agia ao feitio da peste
ou da fome: vagando mundo afora, retornava de tempos em tempos e expurgava justos e
pecadores num tormento derradeiro, como insistiam os textos do século X. O impacto
acarretado sobre as relações sociais era imediato e prolongava-se para além da
destruição material. As medidas proclamadas pelas autoridades faziam mais do que
reparar os danos e reconstruir a paisagem: elas convertiam a devastação em uma
ocasião para alterar e expandir não só a topografia urbana, mas as práticas sociais até
então vigentes.
RUST, L. D. Uma calamidade insaciável. Rev. Bras. Hist., n. 72, maio-ago. 2016 (adaptado).
 De acordo com o texto, a catástrofe descrita impactava as sociedades medievais por
proporcionar a",A: correção dos métodos preventivos e das regras sanitárias.; B: revelação do descaso público e das degradações ambientais.; C: transformação do imaginário popular e das crenças religiosas.; D: remodelação dos sistemas políticos e das administrações locais.; E: reconfiguração dos espaços ocupados e das dinâmicas comunitárias.,1.17248,E
68,"O protagonismo indígena vem optando por uma estratégia de “des-invisibilização”,
valendo-se da dinâmica das novas tecnologias. Em outubro de 2012, após receberem
uma liminar lhes negando o direito a permanecer em suas terras, os Guarani de Pyelito
Kue divulgaram uma carta na qual se dispunham a morrer, mas não a sair de suas terras.
Esse fato foi amplamente divulgado, gerando uma grande mobilização na internet, que
levou milhares de pessoas a escolherem seu lado, divulgando a hashtag
“#somostodosGuarani-Kaiowá” ou acrescentando o sobrenome Guarani-Kaiowá a seus
nomes nos perfis das principais redes sociais.
CAPIBERIBE, A.; BONILLA, O. A ocupação do Congresso: contra o que 
lutam os índios? Estudos Avançados, n. 83, 2015 (adaptado).
A estratégia comunicativa adotada pelos indígenas, no contexto em pauta, teve por efeito",A: enfraquecer as formas de militância política.; B: abalar a identidade de povos tradicionais.; C: inserir as comunidades no mercado global.; D: distanciar os grupos de culturas locais.; E: angariar o apoio de segmentos étnicos externos.,0.55124,E
69,"O governo Vargas, principalmente durante o Estado Novo (1937-1945), pretendeu
construir um Estado capaz de criar uma nova sociedade. Uma dimensão-chave desse
projeto tinha no território seu foco principal. Não por acaso, foram criadas então
instituições encarregadas de fornecer dados confiáveis para a ação do governo, como o
Conselho Nacional de Geografia, o Conselho Nacional de Cartografia, o Conselho
Nacional de Estatística e o Instituto Brasileiro de Geografia e Estatística (IBGE), este de
1938.
LIPPI, L. A conquista do Oeste. Disponível em: http://cpdoc.fgv.br. Acesso em: 7 nov. 2014 (adaptado).
A criação dessas instituições pelo governo Vargas representava uma estratégia política de",A: levantar informações para a preservação da paisagem dos sertões.; B: controlar o crescimento exponencial da população brasileira.; C: obter conhecimento científico das diversidades regionais.; D: conter o fluxo migratório do campo para a cidade.; E: propor a criação de novas unidades da federação.,0.94313,C
70,"Foram esses cientistas Xavante que esclareceram os mistérios da germinação de
cada uma das sementes. Eles tinham o conhecimento para quebrar a dormência. O fogo
era fundamental para muitas; para outras, o caminho para despertar passava pelo
sistema digestivo dos animais silvestres. “Essa planta nasce depois que fazemos a
caçada com fogo, diziam eles, esta outra quando a anta caga a semente, aquela precisa
ser comida pelo lobo”. Aliando os conhecimentos dos cientistas da aldeia e da cidade,
essa área do Cerrado foi recuperada totalmente.
PAPPIANI, A. Tecnologias indígenas: esplendor e captura. Disponível em: https://outraspalavras.net. 
Acesso em: 10 out. 2019 (adaptado).
No texto, a relação socioespacial dos indígenas evidencia a importância do(a)",A: prática agrícola para a logística nacional.; B: cultivo de hortaliças para o consumo urbano.; C: saber tradicional para a conservação ambiental.; D: criação de gado para o aprimoramento genético.; E: reflorestamento comercial para a produção orgânica.,0.29978,C
71,"Desde os primórdios da formação da crosta terrestre até os dias de hoje, as rochas
formadas vêm sendo continuamente destruídas. Os produtos resultantes da destruição
das rochas são transportados pela água, vento e gelo a toda superfície terrestre,
acionados pelo calor e pela gravidade. Cessada a energia transportadora, são
depositados nas regiões mais baixas da crosta, podendo formar pacotes rochosos.
LEINZ, V. Geologia geral. São Paulo: Editora Nacional, 1989.
As transformações na superfície terrestre, conforme descritas no texto, compõem o
seguinte processo geomorfológico:",A: Ciclo sedimentar.; B: Instabilidade sísmica.; C: Intemperismo biológico.; D: Derramamento basáltico.; E: Compactação superficial.,0.86617,A
72,"A participação social no planejamento e na gestão urbanos ganhou impulso a partir
do Estatuto da Cidade (Lei n. 10.257/2001), que estabeleceu condições para elaboração
de planos diretores participativos, instrumentos esses indutores da expansão urbana e do
ordenamento territorial que, a princípio, devem buscar representar os interesses dos
diversos segmentos da sociedade. No entanto, é notório o limite à representação dos
interesses das camadas sociais menos favorecidas nesse processo. Este rumo deve ser
corrigido e deve-se continuar buscando mecanismos de inclusão dos interesses de toda a
sociedade.
Caderno Objetivos de Desenvolvimento Sustentável — ODS n. 11: tornar as cidades e os assentamentos
humanos inclusivos, seguros, resilientes e sustentáveis. Brasília: Ipea, 2019.
Qual medida promove a participação social descrita no texto?",A: Redução dos impostos municipais.; B: Privatização dos espaços públicos.; C: Adensamento das áreas de comércio.; D: Valorização dos condomínios fechados.; E: Fortalecimento das associações de bairro.,0.77519,E
73,"Quando Getúlio Vargas se suicidou, em agosto de 1954, o país parecia à beira do
caos. Acuado por uma grave crise política, o velho líder preferiu uma bala no peito à
humilhação de aceitar uma nova deposição, como a que sofrera em outubro de 1945.
Entretanto, ao contrário do que imaginavam os inimigos, ao ruído do estampido não se
seguiu o silêncio que cerca a derrota.
REIS FILHO, D. A. O Estado à sombra de Vargas. Revista Nossa História, n. 7, maio 2004.
O evento analisado no texto teve como repercussão imediata na política nacional a",A: reação popular.; B: intervenção militar.; C: abertura democrática.; D: campanha anticomunista.; E: radicalização oposicionista.,1.32755,A
74,"Eu, Dom João, pela graça de Deus, faço saber a V. Mercê que me aprouve banir para
essa cidade vários ciganos — homens, mulheres e crianças — devido ao seu
escandaloso procedimento neste reino. Tiveram ordem de seguir em diversos navios
destinados a esse porto, e, tendo eu proibido, por lei recente, o uso da sua língua
habitual, ordeno a V. Mercê que cumpra essa lei sob ameaça de penalidades, não
permitindo que ensinem dita língua a seus filhos, de maneira que daqui por diante o seu
uso desapareça.
TEIXEIRA, R. C. História dos ciganos no Brasil. Recife: Núcleo de Estudos Ciganos, 2008.
A ordem emanada da Coroa portuguesa para sua colônia americana, em 1718,
apresentava um tratamento da identidade cultural pautado em",A: converter grupos infiéis à religião oficial.; B: suprimir formas divergentes de interação social.; C: evitar envolvimento estrangeiro na economia local.; D: reprimir indivíduos engajados em revoltas nativistas.; E: controlar manifestações artísticas de comunidades autóctones.,1.18879,B
75,"De um lado, ancorados pela prática médica europeia, por outro, pela terapêutica
indígena, com seu amplo uso da flora nativa, os jesuítas foram os reais iniciadores do
exercício de uma medicina híbrida que se tornou marca do Brasil colonial. Alguns
religiosos vinham de Portugal já versados nas artes de curar, mas a maioria aprendeu na
prática diária as funções que deveriam ser atribuídas a um físico, cirurgião, barbeiro ou
boticário.
GURGEL, C. Doenças e curas: o Brasil nos primeiros séculos. São Paulo: Contexto, 2010 (adaptado).
Conforme o texto, o que caracteriza a construção da prática medicinal descrita é a",A: adoção de rituais místicos.; B: rejeição dos dogmas cristãos.; C: superação da tradição popular.; D: imposição da farmacologia nativa.; E: conjugação de saberes empíricos.,1.12459,E
76,"Desde o século XII que a cristandade ocidental era agitada pelo desafio lançado pela
cultura profana — a dos romances de cavalaria, mas também a cultura folclórica dos
camponeses e igualmente a dos citadinos, de caráter mais jurídico — à cultura
eclesiástica, cujo veículo era o latim. Francisco de Assis veio alterar a situação, propondo
aos seus ouvintes uma mensagem acessível a todos e, simultaneamente, enobrecendo a
língua vulgar através do seu uso na religião.
VAUCHEZ, A. A espiritualidade da Idade Média Ocidental, séc. VIII-XIII. Lisboa: Estampa, 1995.
O comportamento desse religioso demonstra uma preocupação com as características
assumidas pela Igreja e com as desigualdades sociais compartilhada no seu tempo
pelos(as)",A: senhores feudais.; B: movimentos heréticos.; C: integrantes das Cruzadas.; D: corporações de ofícios.; E: universidades medievais.,3.26888,B
77,"Por que o Brasil continuou um só enquanto a América espanhola se dividiu em
vários países?
Para o historiador brasileiro José Murilo de Carvalho, no Brasil, parte da sociedade
era muito mais coesa ideologicamente do que a espanhola. Carvalho argumenta que isso
se deveu à tradição burocrática portuguesa. “Portugal nunca permitiu a criação de
universidades em sua colônia”. Por outro lado, na América espanhola, entre 1772 e 1872,
150 mil estudantes se formaram em universidades locais. Para o historiador mexicano
Alfredo Ávila Rueda, as universidades na América espanhola eram, em sua maioria,
reacionárias. Nesse sentido, o historiador mexicano diz acreditar que a livre circulação de
impressos (jornais, livros e panfletos) na América espanhola, que não era permitida na
América portuguesa (a proibição só foi revertida em 1808), teve função muito mais
importante na construção de regionalismos do que propriamente as universidades.
BARRUCHO, L. Disponível em: www.bbc.com. Acesso em: 8 set. 2019 (adaptado).
Os pontos de vista dos historiadores referidos no texto são divergentes em relação ao",A: papel desempenhado pelas instituições de ensino na criação das múltiplas; B: controle exercido pelos grupos de imprensa na centralização das esferas; C: abandono sofrido pelas comunidades de docentes na concepção de coletividades; D: lugar ocupado pelas associações de acadêmicos no fortalecimento das; E: protagonismo assumido pelos meios de comunicação no desenvolvimento das,0.92494,A
78,"TEXTO I
Macaulay enfatizou o glorioso acontecimento representado pela luta do Parlamento
contra Carlos I em prol da liberdade política e religiosa do povo inglês; significou o
primeiro confronto entre a liberdade e a tirania real, primeiro combate em favor do
Iluminismo e do Liberalismo.
ARRUDA, J. J. A. Perspectivas da Revolução Inglesa. Rev. Bras. Hist., n. 7, 1984 (adaptado).
TEXTO II
A Revolução Inglesa, como todas as revoluções, foi causada pela ruptura da velha
sociedade, e não pelos desejos da velha burguesia. Na década de 1640, camponeses se
revoltaram contra os cercamentos, tecelões contra a miséria resultante da depressão e os
crentes contra o Anticristo a fim de instalar o reino de Cristo na Terra.
HILL, C. Uma revolução burguesa? Rev. Bras. Hist., n. 7, 1984 (adaptado).
A concepção da Revolução Inglesa apresentada no Texto II diferencia-se da do Texto I ao
destacar a existência de",A: pluralidade das demandas sociais.; B: homogeneidade das lutas religiosas.; C: unicidade das abordagens históricas.; D: superficialidade dos interesses políticos.; E: superioridade dos aspectos econômicos.,0.96248,A
79,"As grandes empresas seriam, certamente, representação de um exercício de poder,
ante o grau de autonomia de ação de que dispõem. O que se pretende salientar é a ideia
de enclave: plantas industriais que estabelecem relações escassas com o entorno, mas
exercem grande influência na economia extralocal.
DAVIDOVICH, F. Estado do Rio de Janeiro: o urbano metropolitano. 
Hipóteses e questões. GeoUERJ, n. 21, 2010.
Que tipo de ação tomada por empresas reflete a forma de territorialização da produção
industrial apresentada no texto?",A: Criação de vilas operárias.; B: Promoção de eventos comunitários.; C: Recuperação de áreas degradadas.; D: Incorporação de saberes tradicionais.; E: Importação de mão de obra qualificada.,2.04577,E
