numero_questao,gabarito,NU_PARAM_A,nu_param_B,NU_PARAM_C,ANO,enunciado,alternativas,gabarito_texto,distratores,enunciado_limpo,alternativas_limpo,gabarito_texto_limpo,distratores_limpo
81,E,2.82762,1.76871,0.08145,2018,"TEXTO IAs fronteiras, ao mesmo tempo que se separam, unem e articulam, por elas passando discursos de legitimação da ordem social tanto quanto do conflito.TEXTO IIAs últimas barreiras ao livre movimento do dinheiro e das mercadorias e informação que rendem dinheiro andam de mãos dadas com a pressão para cavar novos fossos e erigir novas muralhas que barrem o movimento daqueles que em consequência perdem, física ou espiritualmente, suas raízes.A ressignificação contemporânea da ideia de fronteira compreende a",A: liberação da circulação de pessoas; B: preponderância dos limites naturais; C: supressão dos obstáculos aduaneiros; D: desvalorização da noção de nacionalismo; E: seletividade dos mecanismos segregadores,seletividade dos mecanismos segregadores,liberação da circulação de pessoas; preponderância dos limites naturais; supressão dos obstáculos aduaneiros; desvalorização da noção de nacionalismo,andam articulam barreiras barrem cavar compreende conflito consequência contemporânea dadas daqueles dinheiro discursos erigir espiritualmente fossos fronteira fronteiras física ias ideia iias informação legitimação livre mercadorias movimento muralhas mãos novas novos ordem passando perdem pressão quanto raízes rendem ressignificação separam social tanto tempo texto unem últimas,A: circulação liberação pessoas; B: limites naturais preponderância; C: aduaneiros obstáculos supressão; D: desvalorização nacionalismo noção; E: mecanismos segregadores seletividade,mecanismos segregadores seletividade,aduaneiros circulação desvalorização liberação limites nacionalismo naturais noção obstáculos pessoas preponderância supressão
82,B,2.42169,1.66005,0.18248,2018,"TEXTO IHá mais de duas décadas, os cientistas e ambientalistas têm alertado para o fato de a água doce ser um recurso escasso em nosso planeta. Desde o começo de 2014, o Sudeste do Brasil adquiriu uma clara percepção dessa realidade em função da seca.TEXTO IIDescrição de imagem:Esquema conceitual intitulado Dinâmicas  atmosféricas no Brasil apresentando os elementos relevantes ao transporte de umidade na América do Sul a leste dos Andes, em duas imagens, uma para um verão normal e outra para o verão seco de 2014.Na imagem relativa ao verão normal, apresenta-se sobre a Região Sudeste a Zona de Convergência do Atlântico Sul, resultante do encontro dos Jatos de Baixos Níveis, que vêm do Oceano Atlântico e passam pela Amazônia, do Fluxo do Oceano Atlântico, e das Frentes Frias provenientes do Sul. Nessa situação a área apresenta solo úmido.Na imagem relativa ao verão de 2014, no lugar onde ocorreria a Zona de Convergência na Região Sudeste, é apresentado um centro de anomalia de alta pressão atmosférica, representado na imagem por setas circulares. Ao invés de úmido, o solo é seco.De acordo com as informações apresentadas, a seca de 2014, no Sudeste, teve como causa natural o(a)",A: constituição de frentes quentes barrando as chuvas convectivas; B: formação de anticiclone impedindo a entrada de umidade; C: presença de nebulosidade na região de cordilheira; D: avanço de massas polares para o continente; E: baixa pressão atmosférica no litoral,formação de anticiclone impedindo a entrada de umidade,constituição de frentes quentes barrando as chuvas convectivas; presença de nebulosidade na região de cordilheira; avanço de massas polares para o continente; baixa pressão atmosférica no litoral,acordo adquiriu alertado alta amazônia ambientalistas américa andes anomalia apresenta apresentadas apresentado apresentando atlântico atmosférica atmosféricas baixos brasil causa centro cientistas circulares clara começo conceitual convergência desde dessa dinâmicas doce duas décadas elementos encontro escasso esquema fato fluxo frentes frias função ihá iidescrição imagem imagens informações intitulado invés jatos leste lugar natural nessa normal níveis oceano ocorreria onde outra passam percepção planeta pressão provenientes realidade recurso região relativa relevantes representado resultante seca seco setas situação sobre solo sudeste sul texto transporte têm umidade verão vêm zona água área úmido,A: barrando chuvas constituição convectivas frentes quentes; B: anticiclone entrada formação impedindo umidade; C: cordilheira nebulosidade presença região; D: avanço continente massas polares; E: atmosférica baixa litoral pressão,anticiclone entrada formação impedindo umidade,atmosférica avanço baixa barrando chuvas constituição continente convectivas cordilheira frentes litoral massas nebulosidade polares presença pressão quentes região
83,D,0.60114,3.21465,0.04218,2018,"Na obra Confissões , Santo Agostinho escreve:Não é verdade que estão ainda cheios de velhice espiritual aqueles que nos dizem: “Que fazia Deus antes de criar o céu e a terra? Se estava ocioso e nada realizava”, dizem eles, “por que não ficou sempre assim no decurso dos séculos, abstendo-se, como antes, de toda ação? Se existiu em Deus um novo movimento, uma vontade nova para dar o ser a criaturas que nunca antes criara, como pode haver verdadeira eternidade, se n’Ele aparece uma vontade que antes não existia?”A questão da eternidade, tal como abordada pelo autor, é um exemplo da reflexão filosófica sobre a(s)",A: essência da ética cristã; B: natureza universal da tradição; C: certezas inabaláveis da experiência; D: abrangência da compreensão humana; E: interpretações da realidade circundante,abrangência da compreensão humana,essência da ética cristã; natureza universal da tradição; certezas inabaláveis da experiência; interpretações da realidade circundante,abordada abstendo agostinho ainda antes aparece assim autor ação cheios confissões criar criara criaturas céu dar decurso deus dizem escreve espiritual eternidade exemplo existia existiu fazia ficou filosófica movimento n nada nova novo nunca obra ocioso pode questão realizava reflexão s santo sempre sobre séculos tal terra toda velhice verdade verdadeira vontade,A: cristã essência ética; B: natureza tradição universal; C: certezas experiência inabaláveis; D: abrangência compreensão humana; E: circundante interpretações realidade,abrangência compreensão humana,certezas circundante cristã essência experiência inabaláveis interpretações natureza realidade tradição universal ética
84,C,2.64093,0.97084,0.10439,2018,"Na obra O tempo e o vento, Erico Verissimo escreve:Rodrigo havia sido indicado pela oposição para fiscal duma das mesas eleitorais. Pôs o revólver na cintura, uma caixa de balas no bolso e encaminhou-se para seu posto. A chamada dos eleitores começou às sete da manhã. Plantados junto da porta, os capangas do Trindade ofereciam cédulas com o nome dos candidatos oficiais a todos os eleitores que entravam. Estes, em sua quase totalidade, tomavam docilmente dos papeluchos e depositavam-nos na urna, depois de assinar a autêntica. Os que se recusavam a isso tinham seus nomes acintosamente anotados.Erico Verissimo tematiza em obra ficcional o seguinte aspecto característico da vida política durante a Primeira República:",A: Identificação forçada de homens analfabetos; B: Monitoramento legal dos pleitos legislativos; C: Repressão explícita ao exercício de direito; D: Propaganda direcionada à população do campo; E: Cerceamento policial dos operários sindicalizados,Repressão explícita ao exercício de direito,Identificação forçada de homens analfabetos; Monitoramento legal dos pleitos legislativos; Propaganda direcionada à população do campo; Cerceamento policial dos operários sindicalizados,acintosamente anotados aspecto assinar autêntica balas bolso caixa candidatos capangas característico chamada cintura começou cédulas depositavam docilmente duma durante eleitorais eleitores encaminhou entravam erico escreve ficcional fiscal havia indicado junto manhã mesas nome nomes obra ofereciam oficiais oposição papeluchos plantados política porta posto primeira pôs quase recusavam república revólver rodrigo seguinte sete sido tematiza tempo todos tomavam totalidade trindade urna vento verissimo vida,A: analfabetos forçada homens identificação; B: legal legislativos monitoramento pleitos; C: direito exercício explícita repressão; D: campo direcionada população propaganda; E: cerceamento operários policial sindicalizados,direito exercício explícita repressão,analfabetos campo cerceamento direcionada forçada homens identificação legal legislativos monitoramento operários pleitos policial população propaganda sindicalizados
85,A,4.54182,0.94711,0.22956,2018,"Uma história dos povos árabesEntão disse: “Este é o local onde construirei. Tudo pode chegar aqui pelo Eufrates, o Tigre e uma rede de canais. Só um lugar como este sustentará o exército e a população geral”. Assim ele traçou e destinou as verbas para a sua construção, e deitou o primeiro tijolo com sua própria mão, dizendo: “Em nome de Deus, e em louvor a Ele. Construí, e que Deus vos abençoe”.A decisão do califa Al-Mansur (754-775) de construir Bagdá nesse local orientou-se pela",A: disponibilidade de rotas e terras férteis como base da dominação política; B: proximidade de áreas populosas como afirmação da superioridade bélica; C: submissão à hierarquia e à lei islâmica como controle do poder real; D: fuga da península arábica como afastamento dos conflitos sucessórios; E: ocupação de região fronteiriça como contenção do avanço mongol,disponibilidade de rotas e terras férteis como base da dominação política,proximidade de áreas populosas como afirmação da superioridade bélica; submissão à hierarquia e à lei islâmica como controle do poder real; fuga da península arábica como afastamento dos conflitos sucessórios; ocupação de região fronteiriça como contenção do avanço mongol,abençoe al aqui assim bagdá califa canais chegar construir construirei construção construí decisão deitou destinou deus disse dizendo eufrates exército geral história local louvor lugar mansur mão nesse nome onde orientou pode população povos primeiro própria rede sustentará tigre tijolo traçou tudo verbas árabesentão,A: base disponibilidade dominação férteis política rotas terras; B: afirmação bélica populosas proximidade superioridade áreas; C: controle hierarquia islâmica lei poder real submissão; D: afastamento arábica conflitos fuga península sucessórios; E: avanço contenção fronteiriça mongol ocupação região,base disponibilidade dominação férteis política rotas terras,afastamento afirmação arábica avanço bélica conflitos contenção controle fronteiriça fuga hierarquia islâmica lei mongol ocupação península poder populosas proximidade real região submissão sucessórios superioridade áreas
86,A,3.4662,1.3981,0.16469,2018,"A política nacional de agroecologia e  produção orgânica no BrasilA agricultura ecológica e a produção orgânica de alimentos estão ganhando relevância em diferentes partes do mundo. No campo brasileiro, também acontece o mesmo. Impulsionado especialmente pela expansão da demanda de alimentos saudáveis, o setor cresce a cada ano, embora permaneça relativamente marginalizado na agenda de prioridades da política agrícola praticada no país.Que tipo de intervenção do poder público no espaço rural é capaz de reduzir a marginalização produtiva apresentada no texto?",A: Subsidiar os cultivos de base familiar; B: Favorecer as práticas de fertilização química; C: Restringir o emprego de maquinário moderno; D: Controlar a expansão de sistemas de irrigação; E: Regulamentar o uso de sementes selecionadas,Subsidiar os cultivos de base familiar,Favorecer as práticas de fertilização química; Restringir o emprego de maquinário moderno; Controlar a expansão de sistemas de irrigação; Regulamentar o uso de sementes selecionadas,acontece agenda agricultura agroecologia agrícola alimentos ano apresentada brasila brasileiro cada campo capaz cresce demanda diferentes ecológica embora espaço especialmente expansão ganhando impulsionado intervenção marginalizado marginalização mundo nacional orgânica partes país permaneça poder política praticada prioridades produtiva produção público reduzir relativamente relevância rural saudáveis setor texto tipo,A: base cultivos familiar subsidiar; B: favorecer fertilização práticas química; C: emprego maquinário moderno restringir; D: controlar expansão irrigação sistemas; E: regulamentar selecionadas sementes uso,base cultivos familiar subsidiar,controlar emprego expansão favorecer fertilização irrigação maquinário moderno práticas química regulamentar restringir selecionadas sementes sistemas uso
87,B,1.9957,0.71975,0.11139,2018,"Descrição de imagem:Cartaz da década de 1940, intitulado A SAÚDE DA MULHER, apresenta o seguinte texto escrito na grafia da época:ELLA SERIA ADORAVEL ...si não fosse doentiaSó uma saude perfeita póde dar á mulher belleza e encanto capazes de a tornar adoravel aos olhos masculinos!Para ter uma saude assim, tome “A SAUDE DA MULHER”, o remedio que traz no nome o resumo das suas vírtudes. “A SAUDE DA MULHER” regulariza o funccionamento do delicado organismo feminino .O cartaz contém a figura de uma mulher, relaxadamente sentada em uma poltrona, com as mãos na nuca.O anúncio publicitário da década de 1940 reforça os seguintes estereótipos atribuídos historicamente a uma suposta natureza feminina:",A: Pudor inato e instinto maternal; B: Fragilidade física e necessidade de aceitação; C: Isolamento social e procura de autoconhecimento; D: Dependência econômica e desejo de ostentação; E: Mentalidade fútil e conduta hedonista,Fragilidade física e necessidade de aceitação,Pudor inato e instinto maternal; Isolamento social e procura de autoconhecimento; Dependência econômica e desejo de ostentação; Mentalidade fútil e conduta hedonista,adoravel anúncio apresenta assim atribuídos belleza capazes cartaz contém dar delicado descrição doentiasó década ella encanto escrito estereótipos feminina feminino figura funccionamento grafia historicamente imagem intitulado masculinos mulher mãos natureza nome nuca olhos organismo perfeita poltrona publicitário póde reforça regulariza relaxadamente remedio resumo saude saúde seguinte seguintes sentada si suposta ter texto tome tornar traz vírtudes á época,A: inato instinto maternal pudor; B: aceitação fragilidade física necessidade; C: autoconhecimento isolamento procura social; D: dependência desejo econômica ostentação; E: conduta fútil hedonista mentalidade,aceitação fragilidade física necessidade,autoconhecimento conduta dependência desejo econômica fútil hedonista inato instinto isolamento maternal mentalidade ostentação procura pudor social
88,C,1.44874,2.04777,0.21786,2018,"Descrição de imagem:Gráfico intitulado Participação percentual do extrativismo vegetal e da silvicultura no valor da produção primária florestal – Brasil – 1996-2014.  O eixo vertical corresponde à porcentagem e o eixo horizontal corresponde ao ano.  Uma linha correspondente ao Extrativismo vegetal indica 60 por cento em 1996, descendo para menos de 50 por cento em 1998, permanecendo oscilante nesse patamar até 2002, descendo a menos de 40 por cento em 2003, seguindo nessa tendência até chegar a um pouco mais de 20 por cento em 2014, em valores aproximados.A linha correspondente à Silvicultura indica 40 por cento em 1996, subindo para um pouco mais de 50 por cento em 1998, permanecendo oscilante nesse patamar até 2002, subindo a um pouco mais de 60 por cento em 2003, seguindo nessa tendência até chegar a quase 80 por cento em 2014, em valores aproximados.Visualmente, as linhas partem do eixo vertical separadas, oscilando próximas entre 1997 e 2002, depois seguem em uma tendência de afastamento até 2014, tendo invertido suas posições iniciais. As linhas se opõem simetricamente ao longo do período registrado.Considerando as diferenças entre extrativismo vegetal e silvicultura, a variação das curvas do gráfico foi influenciada pela tendência de",A: conservação do bioma nativo; B: estagnação do setor primário; C: utilização de madeira de reflorestamento; D: redução da produção de móveis; E: retração da indústria alimentícia,utilização de madeira de reflorestamento,conservação do bioma nativo; estagnação do setor primário; redução da produção de móveis; retração da indústria alimentícia,afastamento ano aproximados brasil cento chegar considerando corresponde correspondente curvas descendo descrição diferenças eixo extrativismo florestal gráfico horizontal imagem indica influenciada iniciais intitulado invertido linha linhas longo menos nessa nesse opõem oscilando oscilante partem participação patamar percentual permanecendo período porcentagem posições pouco primária produção próximas quase registrado seguem seguindo separadas silvicultura simetricamente subindo tendo tendência valor valores variação vegetal vertical visualmente,A: bioma conservação nativo; B: estagnação primário setor; C: madeira reflorestamento utilização; D: móveis produção redução; E: alimentícia indústria retração,madeira reflorestamento utilização,alimentícia bioma conservação estagnação indústria móveis nativo primário produção redução retração setor
89,D,2.14361,2.00995,0.17873,2018,"No início da década de 1990, dois biólogos importantes, Redford e Robinson, produziram um modelo largamente aceito de “produção sustentável” que previa quantos indivíduos de cada espécie poderiam ser caçados de forma sustentável baseado nas suas taxas de reprodução. Os seringueiros do Alto Juruá tinham um modelo diferente: a quem lhes afirmava que estavam caçando acima do sustentável (dentro do modelo), eles diziam que não, que o nível da caça dependia da existência de áreas de refúgio em que ninguém caçava. Ora, esse acabou sendo o modelo batizado de “fonte-ralo” proposto dez anos após o primeiro por Novaro, Bodmer e o próprio Redford e que suplantou o modelo anterior.No contexto da produção científica, a necessidade de reconstrução desse modelo, conforme exposto no texto, foi determinada pelo confronto com um(a)",A: conclusão operacional obtida por lógica dedutiva; B: visão de mundo marcada por preconceitos morais; C: hábito social condicionado pela religiosidade popular; D: conhecimento empírico apropriado pelo senso comum; E: padrão de preservação construído por experimentação dirigida,conhecimento empírico apropriado pelo senso comum,conclusão operacional obtida por lógica dedutiva; visão de mundo marcada por preconceitos morais; hábito social condicionado pela religiosidade popular; padrão de preservação construído por experimentação dirigida,acabou aceito acima afirmava alto anos anterior após baseado batizado biólogos bodmer cada caça caçados caçando caçava científica conforme confronto contexto dentro dependia desse determinada dez diferente diziam dois década espécie existência exposto fonte forma importantes indivíduos início juruá largamente modelo necessidade ninguém novaro nível ora poderiam previa primeiro produziram produção proposto próprio quantos ralo reconstrução redford refúgio reprodução robinson sendo seringueiros suplantou sustentável taxas texto áreas,A: conclusão dedutiva lógica obtida operacional; B: marcada morais mundo preconceitos visão; C: condicionado hábito popular religiosidade social; D: apropriado comum conhecimento empírico senso; E: construído dirigida experimentação padrão preservação,apropriado comum conhecimento empírico senso,conclusão condicionado construído dedutiva dirigida experimentação hábito lógica marcada morais mundo obtida operacional padrão popular preconceitos preservação religiosidade social visão
90,E,2.42215,1.58606,0.13283,2018,"Na obra Teoria geral da política, Norberto Bobbio escreve:Um dos teóricos da democracia moderna, Hans Kelsen, considera elemento essencial da democracia real (não da democracia ideal, que não existe em lugar algum) o método da seleção dos líderes, ou seja, a eleição. Exemplar, neste sentido, é a afirmação de um juiz da Corte Suprema dos Estados Unidos, por ocasião de uma eleição de 1902: “A cabine eleitoral é o templo das instituições americanas, onde cada um de nós é um sacerdote, ao qual é confiada a guarda da arca da aliança e cada um oficia do seu próprio altar”.As metáforas utilizadas no texto referem-se a uma concepção de democracia fundamentada no(a)",A: justificação teísta do direito; B: rigidez da hierarquia de classe; C: ênfase formalista na administração; D: protagonismo do Executivo no poder; E: centralidade do indivíduo na sociedade,centralidade do indivíduo na sociedade,justificação teísta do direito; rigidez da hierarquia de classe; ênfase formalista na administração; protagonismo do Executivo no poder,afirmação algum aliança altar americanas arca bobbio cabine cada concepção confiada considera corte democracia eleitoral eleição elemento escreve essencial estados exemplar existe fundamentada geral guarda hans ideal instituições juiz kelsen lugar líderes metáforas moderna método neste norberto obra ocasião oficia onde política próprio real referem sacerdote seleção sentido suprema templo teoria texto teóricos unidos utilizadas,A: direito justificação teísta; B: classe hierarquia rigidez; C: administração formalista ênfase; D: executivo poder protagonismo; E: centralidade indivíduo sociedade,centralidade indivíduo sociedade,administração classe direito executivo formalista hierarquia justificação poder protagonismo rigidez teísta ênfase
46,C,3.45284,1.65017,0.09484,2019,"A hospitalidade pura consiste em acolher aquele que chega antes de lhe impor condições, antes de saber e indagar o que quer que seja, ainda que seja um nome ou um “documento” de identidade. Mas ela também supõe que se dirija a ele, de maneira singular, chamando-o portanto e reconhecendo-lhe um nome próprio: “Como você se chama?” A hospitalidade consiste em fazer tudo para se dirigir ao outro, em lhe conceder, até mesmo perguntar seu nome, evitando que essa pergunta se torne uma “condição”, um inquérito policial,  um fichamento ou um simples controle das fronteiras.  Uma arte e uma poética, mas também toda uma política dependem disso, toda uma ética se decide aí.Associado ao contexto migratório contemporâneo,  o conceito de hospitalidade proposto pelo autor impõe a necessidade de",A: anulação da diferença; B: cristalização da biografia; C: incorporação da alteridade; D: supressão da comunicação; E: verificação da proveniência,incorporação da alteridade,anulação da diferença; cristalização da biografia; supressão da comunicação; verificação da proveniência,acolher ainda antes arte associado autor aí chama chamando chega conceder conceito condição condições consiste contemporâneo contexto controle decide dependem dirigir dirija disso documento evitando fazer fichamento fronteiras hospitalidade identidade impor impõe indagar inquérito maneira migratório necessidade nome outro pergunta perguntar policial política portanto poética proposto próprio pura quer reconhecendo saber simples singular supõe toda torne tudo ética,A: anulação diferença; B: biografia cristalização; C: alteridade incorporação; D: comunicação supressão; E: proveniência verificação,alteridade incorporação,anulação biografia comunicação cristalização diferença proveniência supressão verificação
47,B,2.24266,0.19945,0.14787,2019,"Em sentido geral e fundamental, Direito é a técnica da coexistência humana, isto é, a técnica voltada a tornar possível a coexistência dos homens. Como técnica, o Direito se concretiza em um conjunto de regras (que, nesse caso, são leis ou normas); e tais regras têm por objeto o comportamento intersubjetivo, isto é, o comportamento recíproco dos homens entre si.O sentido geral e fundamental do Direito, conforme foi destacado, refere-se à",A: aplicação de códigos legais; B: regulação do convívio social; C: legitimação de decisões políticas; D: mediação de conflitos econômicos; E: representação da autoridade constituída,regulação do convívio social,aplicação de códigos legais; legitimação de decisões políticas; mediação de conflitos econômicos; representação da autoridade constituída,caso coexistência comportamento concretiza conforme conjunto destacado direito fundamental geral homens humana intersubjetivo leis nesse normas objeto possível recíproco refere regras sentido si tais tornar técnica têm voltada,A: aplicação códigos legais; B: convívio regulação social; C: decisões legitimação políticas; D: conflitos econômicos mediação; E: autoridade constituída representação,convívio regulação social,aplicação autoridade conflitos constituída códigos decisões econômicos legais legitimação mediação políticas representação
48,A,1.69265,-0.16281,0.19993,2019,"O processamento da mandioca era uma atividade já realizada pelos nativos que viviam no Brasil antes da chegada de portugueses e africanos. Entretanto, ao longo do processo de colonização portuguesa, a produção de farinha foi aperfeiçoada e ampliada, tornando-se  lugar-comum em todo o território da colônia portuguesa na América. Com a consolidação do comércio atlântico em suas diferentes conexões, a farinha atravessou os mares e chegou aos mercados africanos.Considerando a formação do espaço atlântico,  esse produto exemplifica historicamente a",A: difusão de hábitos alimentares; B: disseminação de rituais festivos; C: ampliação dos saberes autóctones; D: apropriação de costumes guerreiros; E: diversificação de oferendas religiosas,difusão de hábitos alimentares,disseminação de rituais festivos; ampliação dos saberes autóctones; apropriação de costumes guerreiros; diversificação de oferendas religiosas,africanos ampliada américa antes aperfeiçoada atividade atlântico atravessou brasil chegada chegou colonização colônia comum comércio conexões considerando consolidação diferentes entretanto espaço exemplifica farinha formação historicamente longo lugar mandioca mares mercados nativos portuguesa portugueses processamento processo produto produção realizada território todo tornando viviam,A: alimentares difusão hábitos; B: disseminação festivos rituais; C: ampliação autóctones saberes; D: apropriação costumes guerreiros; E: diversificação oferendas religiosas,alimentares difusão hábitos,ampliação apropriação autóctones costumes disseminação diversificação festivos guerreiros oferendas religiosas rituais saberes
49,B,2.89911,0.93429,0.16213,2019,"Brasil, Alemanha, Japão e Índia pedem reforma  do Conselho de SegurançaOs representantes do G4 (Brasil, Alemanha, Índia e Japão) reiteraram, em setembro de 2018, a defesa pela ampliação do Conselho de Segurança da Organização das Nações Unidas (ONU) durante reunião em  Nova York (Estados Unidos). Em declaração conjunta,  de dez itens, os chanceleres destacaram que o órgão, no formato em que está, com apenas cinco membros permanentes e dez rotativos, não reflete o século 21. “A reforma do Conselho de Segurança é essencial para enfrentar os desafios complexos de hoje. Como aspirantes a novos membros permanentes de um conselho reformado, os ministros reiteraram seu compromisso de trabalhar para fortalecer o  funcionamento da ONU e da ordem multilateral global, bem como seu apoio às respectivas candidaturas”, afirma a declaração conjunta.Os países mencionados no texto justificam sua pretensão com base na seguinte característica comum:",A: Extensividade de área territorial; B: Protagonismo em escala regional; C: Investimento em tecnologia militar; D: Desenvolvimento de energia nuclear; E: Disponibilidade de recursos minerais,Protagonismo em escala regional,Extensividade de área territorial; Investimento em tecnologia militar; Desenvolvimento de energia nuclear; Disponibilidade de recursos minerais,afirma alemanha ampliação apenas apoio aspirantes base bem brasil candidaturas característica chanceleres cinco complexos compromisso comum conjunta conselho declaração defesa desafios destacaram dez durante enfrentar essencial estados formato fortalecer funcionamento global hoje itens japão justificam membros mencionados ministros multilateral nações nova novos onu ordem organização países pedem permanentes pretensão reflete reforma reformado reiteraram representantes respectivas reunião rotativos seguinte segurança segurançaos setembro século texto trabalhar unidas unidos york índia órgão,A: extensividade territorial área; B: escala protagonismo regional; C: investimento militar tecnologia; D: desenvolvimento energia nuclear; E: disponibilidade minerais recursos,escala protagonismo regional,desenvolvimento disponibilidade energia extensividade investimento militar minerais nuclear recursos tecnologia territorial área
50,A,2.78428,0.48121,0.18255,2019,"Tratava-se agora de construir um ritmo novo. Para tanto, era necessário convocar todas as forças vivas da Nação, todos os homens que, com vontade de trabalhar e confiança no futuro, pudessem erguer,  num tempo novo, um novo Tempo. E, à grande convocação que conclamava o povo para a gigantesca tarefa, começaram a chegar de todos os cantos da imensa pátria os trabalhadores: os homens simples e quietos, com pés de raiz, rostos de couro e mãos de pedra, e no calcanho, em carro de boi, em lombo  de burro, em paus-de-arara, por todas as formas  possíveis e imagináveis, em sua mudez cheia de esperança, muitas vezes deixando para trás mulheres e filhos a aguardar suas promessas de melhores dias; foram chegando de tantos povoados, tantas cidades cujos nomes pareciam cantar saudades aos seus ouvidos, dentro dos antigos ritmos da imensa pátria... Terra de sol, Terra de luz... Brasil! Brasil! Brasília! (Vinicius de Moraes e Antônio Carlos Jobim)No texto, a narrativa produzida sobre a construção de Brasília articula os elementos políticos e  socioeconômicos indicados, respectivamente, em:",A: Apelo simbólico e migração inter-regional; B: Organização sindical e expansão do capital; C: Segurança territorial e estabilidade financeira; D: Consenso partidário e modernização rodoviária; E: Perspectiva democrática e eficácia dos transportes,Apelo simbólico e migração inter-regional,Organização sindical e expansão do capital; Segurança territorial e estabilidade financeira; Consenso partidário e modernização rodoviária; Perspectiva democrática e eficácia dos transportes,agora aguardar antigos antônio arara articula boi brasil brasília burro calcanho cantar cantos carlos carro chegando chegar cheia cidades começaram conclamava confiança construir construção convocar convocação couro cujos deixando dentro dias elementos erguer esperança filhos formas forças futuro gigantesca grande homens imagináveis imensa indicados jobim lombo luz melhores moraes mudez muitas mulheres mãos narrativa nação necessário nomes novo ouvidos pareciam paus pedra políticos possíveis povo povoados produzida promessas pudessem pátria pés quietos raiz respectivamente ritmo ritmos rostos saudades simples sobre socioeconômicos sol tantas tanto tantos tarefa tempo terra texto todas todos trabalhadores trabalhar tratava trás vezes vinicius vivas vontade,A: apelo inter migração regional simbólico; B: capital expansão organização sindical; C: estabilidade financeira segurança territorial; D: consenso modernização partidário rodoviária; E: democrática eficácia perspectiva transportes,apelo inter migração regional simbólico,capital consenso democrática eficácia estabilidade expansão financeira modernização organização partidário perspectiva rodoviária segurança sindical territorial transportes
51,D,3.56414,0.51626,0.13663,2019,"Saudado por centenas de militantes de movimentos sociais de quarenta países, o papa Francisco encerrou no dia 09/07/2015 o Segundo  Encontro Mundial dos  Movimentos Populares, em Santa Cruz de La Sierra,  na Bolívia. Segundo ele, a “globalização da esperança, que nasce dos povos e cresce entre os pobres,  deve substituir esta globalização da exclusão e  da indiferença”.No texto há uma crítica ao seguinte aspecto do  mundo globalizado:",A: Liberdade política; B: Mobilidade humana; C: Conectividade cultural; D: Disparidade econômica; E: Complementaridade comercial,Disparidade econômica,Liberdade política; Mobilidade humana; Conectividade cultural; Complementaridade comercial,aspecto bolívia centenas cresce cruz crítica deve dia encerrou encontro esperança exclusão francisco globalizado globalização indiferença la militantes movimentos mundial mundo nasce papa países pobres populares povos quarenta santa saudado seguinte segundo sierra sociais substituir texto,A: liberdade política; B: humana mobilidade; C: conectividade cultural; D: disparidade econômica; E: comercial complementaridade,disparidade econômica,comercial complementaridade conectividade cultural humana liberdade mobilidade política
52,B,1.13705,0.24894,0.00655,2019,"A Declaração Universal dos Direitos Humanos, adotada e proclamada pela Assembleia Geral da ONU na Resolução 217-A, de 10 de dezembro de 1948, foi um acontecimento histórico de grande relevância. Ao afirmar, pela primeira vez em escala planetária, o papel dos direitos humanos na convivência coletiva,  pode ser considerada um evento inaugural de uma nova concepção de vida internacional.A declaração citada no texto introduziu uma nova concepção nas relações internacionais ao possibilitar a",A: superação da soberania estatal; B: defesa dos grupos vulneráveis; C: redução da truculência belicista; D: impunidade dos atos criminosos; E: inibição dos choques civilizacionais,defesa dos grupos vulneráveis,superação da soberania estatal; redução da truculência belicista; impunidade dos atos criminosos; inibição dos choques civilizacionais,acontecimento adotada afirmar assembleia citada coletiva concepção considerada convivência declaração dezembro direitos escala evento geral grande histórico humanos inaugural internacionais internacional introduziu nova onu papel planetária pode possibilitar primeira proclamada relações relevância resolução texto universal vez vida,A: estatal soberania superação; B: defesa grupos vulneráveis; C: belicista redução truculência; D: atos criminosos impunidade; E: choques civilizacionais inibição,defesa grupos vulneráveis,atos belicista choques civilizacionais criminosos estatal impunidade inibição redução soberania superação truculência
