CO_POSICAO,TX_GABARITO,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,ANO,QUESTOES,ALTERNATIVAS
56,C,5.31599,1.31276,0.17992,2018,"Anamorfose é a transformação cartográfica espacial em que a forma dos objetos é distorcida, de forma a realçar o tema. A área das unidades espaciais às quais o tema se refere é alterada de forma proporcional ao respectivo valor.GASPAR, A. J. Dicionário de ciências cartográficas. Lisboa: Lidel, 2004.",
57,E,3.15291,0.99606,0.06127,2018,"A poetisa Emília Freitas subiu a um palanque, nervosa, pedindo desculpas por não possuir títulos nem conhecimentos, mas orgulhosa ofereceu a sua pena que “sem ser hábil, é, em compensação, guiada pelo poder da vontade”. Maria Tomásia pronunciava orações que levantavam os ouvintes. A escritora Francisca Clotilde arrebatava, declamando seus poemas. Aquelas “angélicas senhoras”, “heroínas da caridade”, levantavam dinheiro para comprar liberdades e usavam de seu entusiasmo a fim de convencer os donos de escravos a fazerem alforrias gratuitamente.MIRANDA, A. Disponível em: www.opovoonline.com.br. Acesso em: 10 jun. 2015.As práticas culturais narradas remetem, historicamente, ao movimento",A: feminista; B: sufragista; C: socialista; D: republicano; E: abolicionista
58,D,2.53136,2.02654,0.23962,2018,"A democracia que eles pretendem é a democracia dos privilégios, a democracia da intolerância e do ódio. A democracia que eles querem é para liquidar com a Petrobras, é a democracia dos monopólios, nacionais e internacionais, a democracia que pudesse lutar contra o povo. Ainda ontem eu afirmava que a democracia jamais poderia ser ameaçada pelo povo, quando o povo livremente vem para as praças – as praças que são do povo. Para as ruas – que são do povo.Disponível em: www.revistadehistoria.com.br/secao/artigos/discurso-de-joao-goulart-no-comicio-da-central. Acesso em: 29 out. 2015.Em um momento de radicalização política, a retórica no discurso do presidente João Goulart, proferido no comício da Central do Brasil, buscava justificar a necessidade de",A: conter a abertura econômica para conseguir a adesão das elites; B: impedir a ingerência externa para garantir a conservação de direitos; C: regulamentar os meios de comunicação para coibir os partidos de oposição; D: aprovar os projetos reformistas para atender a mobilização de setores trabalhistas; E: incrementar o processo de desestatização para diminuir a pressão da opinião pública
59,E,1.42279,1.11463,0.05277,2018,"A rebelião luso-brasileira em Pernambuco começou a ser urdida em 1644 e explodiu em 13 de junho de 1645, dia de Santo Antônio. Uma das primeiras medidas de João Fernandes foi decretar nulas as dívidas que os rebeldes tinham com os holandeses. Houve grande adesão da “nobreza da terra”, entusiasmada com esta proclamação heroica.VAINFAS, R. Guerra declarada e paz fingida na restauração portuguesa. Tempo, n. 27, 2009.O desencadeamento dessa revolta na América portuguesa seiscentista foi o resultado do(a)",A: fraqueza bélica dos protestantes batavos; B: comércio transatlântico da África ocidental; C: auxílio financeiro dos negociantes flamengos; D: diplomacia internacional dos Estados ibéricos; E: interesse econômico dos senhores de engenho
60,E,4.81178,0.85966,0.15211,2018,"Em Beirute, no Líbano, quando perguntado sobre onde se encontram os refugiados sírios, a resposta do homem é imediata: “em todos os lugares e em lugar nenhum”. Andando ao acaso, não é raro ver, sob um prédio ou num canto de calçada, ao abrigo do vento, uma família refugiada em volta de uma refeição frugal posta sobre jornais como se fossem guardanapos. Também se vê de vez em quando uma tenda com a sigla ACNUR (Alto Comissariado das Nações Unidas para Refugiados), erguida em um dos raros terrenos vagos da capital.JABER, H. Quem realmente acolhe os refugiados?  Le Monde Diplomatique Brasil , out. 2015 (adaptado).O cenário descrito aponta para uma crise humanitária que é explicada pelo processo de",A: migração massiva de pessoas atingidas por catástrofe natural; B: hibridização cultural de grupos caracterizados por homogeneidade social; C: desmobilização voluntária de militantes cooptados por seitas extremistas; D: peregrinação religiosa de fiéis orientados por lideranças fundamentalistas; E: desterritorialização forçada de populações afetadas por conflitos armados
61,E,1.59757,1.3002,0.05839,2018,"TEXTO IPrograma do Partido Social Democrático (PSD) Capitais estrangeirosÉ indispensável manter clima propício à entrada de capitais estrangeiros. A manutenção desse clima recomenda a adoção de normas disciplinadoras dos investimentos e suas rendas, visando reter no país a maior parcela possível dos lucros auferidos.TEXTO IIPrograma da União Democrática Nacional (UDN)  O capitalApelar para o capital estrangeiro, necessário para os empreendimentos da reconstrução nacional e, sobretudo, para o aproveitamento das nossas reservas inexploradas, dando-lhe um tratamento equitativo e liberdade para a saída dos juros.CHACON, V. História dos partidos brasileiros : discurso e práxis dos seus programas. Brasília: UnB, 1981 (adaptado).Considerando as décadas de 1950 e 1960 no Brasil, os trechos dos programas do PSD e UDN convergiam na defesa da",A: autonomia de atuação das multinacionais; B: descentralização da cobrança tributária; C: flexibilização das reservas cambiais; D: liberdade de remessa de ganhos; E: captação de recursos do  exterior
62,B,3.84706,1.22482,0.17175,2018,"A situação demográfica de Israel é muito particular. Desde 1967, a esquerda sionista afirma que Israel deveria se desfazer rapidamente da Cisjordânia e da Faixa de Gaza, argumentando a partir de uma lógica demográfica aparentemente inexorável. Devido à taxa de nascimento árabe ser muito mais elevada, a anexação dos territórios palestinos, formal ou informal, acarretaria dentro de uma ou duas gerações uma maioria árabe “entre o rio e o mar”.DEMANT, P. Israel: a crise próxima. História, n. 2, jul.-dez. 2014.",A: preocupação apresentada no texto revela um aspecto da condução política desse Estado identificado ao(à)A abdicação da interferência militar em conflito local; B: busca da preeminência étnica sobre o espaço nacional; C: admissão da participação proativa em blocos regionais; D: rompimento com os interesses geopolíticos das potências globais; E: compromisso com as resoluções emanadas dos organismos internacionais
63,C,2.26131,1.79644,0.22052,2018,Trajetória de ciclones tropicaisDisponível em: http://globalwarmingart.com. Acesso em: 12 jul. 2015 (adaptado).Qual característica do meio físico é condição necessária para a distribuição espacial do fenômeno representado?,A: Cobertura vegetal com porte arbóreo; B: Barreiras orográficas com altitudes elevadas; C: Pressão atmosférica com diferença acentuada; D: Superfície continental com refletividade intensa; E: Correntes marinhas com direções convergentes
64,E,4.28812,1.05968,0.13154,2018,"Outra importante manifestação das crenças e tradições africanas na Colônia eram os objetos conhecidos como “bolsas de mandinga”. A insegurança tanto física como espiritual gerava uma necessidade generalizada de proteção: das catástrofes da natureza, das doenças, da má sorte, da violência dos núcleos urbanos, dos roubos, das brigas, dos malefícios de feiticeiros etc. Também para trazer sorte, dinheiro e até atrair mulheres, o costume era corrente nas primeiras décadas do século XVIII, envolvendo não apenas escravos, mas também homens brancos. CALAINHO, D. B. Feitiços e feiticeiros. In: FIGUEIREDO, L. História do Brasil para ocupados. Rio de Janeiro: Casa da Palavra, 2013 (adaptado).",A: prática histórico-cultural de matriz africana descrita no texto representava um(a)A expressão do valor das festividades da população pobre; B: ferramenta para submeter os cativos ao trabalho forçado; C: estratégia de subversão do poder da monarquia portuguesa; D: elemento de conversão dos escravos ao catolicismo romano; E: instrumento para minimizar o sentimento de desamparo socia l
65,A,1.62334,1.80121,0.14924,2018,"Os portos sempre foram respostas ao comércio praticado em grande volume, que se dá via marítima, lacustre e fluvial, e sofreram adaptações, ou modernizações, de acordo com um conjunto de fatores que vão desde a sua localização privilegiada frente a extensas hinterlândias, passando por sua conectividade com modernas redes de transportes que garantam acessibilidade, associados, no atual momento, à tecnologia, que os transformam em pontas de lança de uma economia globalizada que comprime o tempo em nome da produtividade  e da competitividade.ROCHA NETO, J. M.; CRAVIDÃO, F. D. Portos no contexto do meio técnico.  Mercator, n. 2, maio-ago. 2014 (adaptado).Uma mudança que permitiu aos portos adequarem-se às novas necessidades comerciais apontadas no texto foi a",A: intensifi cação do uso de contêineres; B: compactação das áreas de estocagem; C: burocratização dos serviços de alfândega; D: redução da profundidade dos atracadouros; E: superação da e specialização dos cargueiros
66,E,2.04803,2.46656,0.19722,2018,"O século XVIII é, por diversas razões, um século diferenciado. Razão e experimentação se aliavam no que se acreditava ser o verdadeiro caminho para o estabelecimento do conhecimento científico, por tanto tempo almejado. O fato, a análise e a indução passavam a ser parceiros fundamentais da razão. É ainda no século XVIII que o homem começa a tomar consciência de sua situação na história.ODALIA, N. In: PINSKY, J.; PINSKY, C. B. História da cidadania. São Paulo: Contexto, 2003.No ambiente cultural do Antigo Regime, a discussão filosófica mencionada no texto tinha como uma de suas características a",A: aproximação entre inovação e saberes antigos; B: conciliação entre revelação e metafísica platônica; C: vinculação entre escolástica e práticas de pesquisa; D: separação entre teologia e fundamentalismo religioso; E: contraposição entre clericalismo e liberdade de pensamento
67,E,3.40619,1.45138,0.13922,2018,Vazão em áreas urbanizadasVazão em áreas não urbanizadasPrecipitações (mm)908070605040302010Tempo (h)012345678910111213141516Disponível em: www.biologiasur.org. Acesso em: 4 jul. 2015 (adaptado).A dinâmica hidrológica expressa no gráfico demonstra que o processo de urbanização promove a,A: redução do volume dos rios; B: expansão do lençol freático; C: diminuição do índice de chuvas; D: retração do nível dos reservatórios; E: ampliação do escoam ento superficial
68,C,1.04948,1.41026,0.12765,2018,"O encontro entre o Velho e o Novo Mundo, que a descoberta de Colombo tornou possível, é de um tipo muito particular: é uma guerra – ou a Conquista –, como se dizia então. E um mistério continua: o resultado do combate. Por que a vitória fulgurante, se os habitantes da América eram tão superiores em número aos adversários e lutaram no próprio solo? Se nos limitarmos à conquista do México – a mais espetacular, já que a civilização mexicana é a mais brilhante do mundo pré-colombiano – como explicar que Cortez, liderando centenas de homens, tenha conseguido tomar o reino de Montezuma, que dispunha de centenas de milhares de guerreiros?TODOROV, T. A conquista da América . São Paulo: Martins Fontes, 1991 (adaptado).No contexto da conquista, conforme análise apresentada no texto, uma estratégia para superar as disparidades levantadas foi",A: implantar as missões cristãs entre as comunidades submetidas; B: utilizar a superioridade física dos mercenários africanos; C: explorar as rivalidades existentes entre os povos nativos; D: introduzir vetores para a disseminação de doenças epidêmicas; E: comprar terras para o enfraquecimento das teocracias autóctones
69,B,3.26045,2.04583,0.1747,2018,"São Paulo, 10 de janeiro de 1979.Exmo. Sr. Presidente Ernesto Geisel.Considerando as instruções dadas por V. S. de que sejam negados os passaportes aos senhores Francisco Julião, Miguel Arraes, Leonel Brizola, Luis Prestes, Paulo Schilling, Gregório Bezerra, Márcio Moreira Alves e Paulo Freire.Considerando que, desde que nasci, me identifico plenamente com a pele, a cor dos cabelos, a cultura, o sorriso, as aspirações, a história e o sangue destes oito senhores.Considerando tudo isto, por imperativo de minha consciência, venho por meio desta devolver o passaporte que, negado a eles, me foi concedido pelos órgãos competentes de seu governo.Carta do cartunista Henrique de Souza Filho, conhecido como Henfil. In: HENFIL.   Cartas da mãe. Rio de Janeiro: Codecri, 1981 (adaptado).No referido contexto histórico, a manifestação do cartunista Henfil expressava uma crítica ao(à)",A: censura moral das produções culturais; B: limite do processo de distensão política; C: interferência militar de países estrangeiros; D: representação social das agremiações partidárias; E: impedimento de eleição das assembleias estaduais
70,B,6.64097,1.44488,0.19728,2018,"A primeira fase da dominação da economia sobre a vida social acarretou, no modo de definir toda realização humana, uma evidente degradação do ser para o ter.  A fase atual, em que a vida social está totalmente tomada pelos resultados da economia, leva a um deslizamento generalizado do ter para o parecer, do qual todo ter efetivo deve extrair seu prestígio imediato e sua função última.  Ao mesmo tempo, toda realidade individual tornou-se social, diretamente dependente da força social, moldada por ela.DEBORD, G. A sociedade do espetáculo . Rio de Janeiro: Contraponto, 2015.Uma manifestação contemporânea do fenômeno descrito no texto é o(a)",A: valorização dos conhecimentos acumulados; B: exposição nos meios de comunicação; C: aprofundamento da vivência espiritual; D: fortalecimento das relações interpessoais; E: reconhecimento na esfera artística
71,E,3.42899,1.44729,0.1808,2018,"Os seus líderes terminaram presos e assassinados. A “marujada” rebelde foi inteiramente expulsa da esquadra. Num sentido histórico, porém, eles foram vitoriosos. A “chibata” e outros castigos físicos infamantes nunca mais foram oficialmente utilizados; a partir de então, os marinheiros – agora respeitados – teriam suas condições de vida melhoradas significativamente. Sem dúvida fizeram avançar a História.MAESTRI, M. 1910: a revolta dos marinheiros – uma saga negra. São Paulo: Global, 1982.A eclosão desse conflito foi resultado da tensão acumulada na Marinha do Brasil pelo(a)",A: engajamento de civis analfabetos após a emergência de guerras externas; B: insatisfação de militares positivistas após a consolidação da política dos governadores; C: rebaixamento de comandantes veteranos após a repressão a insurreições milenaristas; D: sublevação das classes populares do campo após a instituição do alistamento obrigatório; E: manutenção da mentalidade escravocrata da oficialidade após a queda do regime imperial
72,B,6.69428,1.39536,0.11947,2018,"Uma pesquisa realizada por Carolina Levis, especialista em ecologia do Instituto Nacional de Pesquisas da Amazônia, e publicada na revista Science , demonstra que as espécies vegetais domesticadas pelas civilizações pré-colombianas são as mais dominantes.  “A domesticação de plantas na floresta começou há mais de 8 000 anos. Primeiro eram selecionadas as plantas com características que poderiam ser úteis ao homem e em um segundo momento era feita a propagação dessas espécies. Começaram a cultivá-las em pátios e jardins, por meio de um process o quase intuitivo de seleção”.OLIVEIRA, J. Indígenas foram os primeiros a alterar o ecossistema da Amazônia. Disponível em: https://brasil.elpais.com. Acesso em: 11 dez. 2017 (adaptado).O texto apresenta um novo olhar sobre a configuração da Floresta Amazônica por romper com a ideia de",A: primazia de saberes locais; B: ausência de ação antrópica; C: insuficiência de recursos naturais; D: necessidade de manejo ambiental; E: predominância de práticas agropecuárias
73,E,3.92803,1.08796,0.09238,2018,"TEXTO IQuando um exército atravessa montanhas, florestas, zonas de precipícios, ou marcha ao longo de desfiladeiros, alagadiços ou pântanos, ou qualquer outro terreno onde a deslocação é árdua, está em terreno difícil. O terreno onde é apertado e a sua saída é tortuosa e onde uma pequena força inimiga pode atacar a minha, embora maior, é cercado.TZU, S. A arte da guerra. São Paulo: Martin Claret, 2001.TEXTO IIO objetivo principal era encontrar e matar Osama Bin Laden. Onde ele se esconde? Não podemos esquecer a dificuldade de ocupação do país, que possui um relevo montanhoso, cheio de cavernas, onde fica fácil, para quem está acostumado com esse relevo, esconder-se.OLIVEIRA, M. G.; SANTOS, M. S. Ásia: uma visão histórica, política e econômica do continente. Rio de Janeiro: E-Papers, 2009 (adaptado).As situações apresentadas atestam a importância da relação entre a topografia e o(a)",A: construção de vias terrestres; B: preservação do meio ambiente; C: emprego de armamentos sofisticados; D: intimidação contínua da população local; E: domínio  cognitivo da configuração espacial
74,D,2.83948,0.77569,0.10909,2018,Disponível em: http://cpdoc.fgv.br. Acesso em: 6 dez. 2017.Essa imagem foi impressa em cartilha escolar durante a vigência do Estado Novo com o intuito de,A: destacar a sabedoria inata do líder governamental; B: atender a necessidade familiar de obediência infantil; C: promover o desenvolvimento consistente das atitudes solidárias; D: conquistar a aprovação política por meio do apelo carismático; E: estimular o interesse acadêmico por meio de exercícios intelectuais
75,B,4.47836,2.02417,0.12905,2018,"Os países industriais adotaram uma concepção diferente das relações familiares e do lugar da fecundidade na vida familiar e social. A preocupação de garantir uma transmissão integral das vantagens econômicas e sociais adquiridas tem como resultado uma ação voluntária de limitação do número de nascimentos.GEORGE, P. Panorama do mundo atual. São Paulo: Difusão Europeia do Livro, 1968 (adaptado).Em meados do século XX, o fenômeno social descrito contribuiu para o processo europeu de",A: estabilização da pirâmide etária.; B: conclusão da transição demográfica.; C: contenção da entrada de imigrantes.; D: elevação do crescimento vegetativo.; E: formação de espaços superpovoados
76,E,2.1655,0.79673,0.03448,2018,"Código Penal dos Estados Unidos do Brasil, 1890Dos crimes contra a saúde públicaArt. 156. Exercer a medicina em qualquer dos seus ramos, a arte dentária ou a farmácia; praticar a homeopatia, a dosimetria, o hipnotismo ou magnetismo animal, sem estar habilitado segundo as leis e regulamentos.Art. 158. Ministrar, ou simplesmente prescrever, como meio curativo para uso interno ou externo, e sob qualquer forma preparada, substância de qualquer dos reinos da natureza, fazendo, ou exercendo assim, o ofício denominado curandeiro.Disponível em: http://legis.senado.gov.br. Acesso em: 21 dez. 2014 (adaptado).No início da Primeira República, a legislação penal vigente evidenciava o(a)",A: negligência das religiões cristãs sobre as moléstias; B: desconhecimento das origens das crenças tradicionais; C: preferência da população pelos tratamentos alopáticos; D: abandono pela comunidade das práticas terapêuticas de magia; E: condenação pela ciência dos conhecimentos populares de cura
77,D,1.97,2.55364,0.17706,2018,"A presunção de que a superfície das chapadas e chapadões representa uma velha peneplanície é corroborada pelo fato de que ela é coberta por acumulações superficiais, tais como massas de areia, camadas de cascalhos e seixos e pela ocorrência generalizada de concreções ferruginosas que formam uma crosta laterítica, denominada “canga”.WEIBEL, L. Disponível em: http://biblioteca.ibge.gov.br. Acesso em: 8 jul. 2015 (adaptado).Qual tipo climático favorece o processo de alteração do solo descrito no texto?","A: Árido, com déficit hídrico; B: Subtropical, com baixas temperaturas; C: Temperado, com invernos frios e secos; D: Tropical, com sazonalidade das chuvas; E: Equatorial, com pluviosidade abundante"
78,E,2.34409,1.51378,0.17552,2018,"O marco inicial das discussões parlamentares em torno do direito do voto feminino são os debates que antecederam a Constituição de 1824, que não trazia qualquer impedimento ao exercício dos direitos políticos por mulheres, mas, por outro lado, também não era explícita quanto à possibilidade desse exercício. Foi somente em 1932, dois anos antes de estabelecido o voto aos 18 anos, que as mulheres obtiveram o direito de votar, o que veio a se concretizar no ano seguinte. Isso ocorreu a partir da aprovação do Código Eleitoral de 1932.Disponível em: http://tse.jusbrasil.com.br. Acesso em: 14 maio 2018.Um dos fatores que contribuíram para a efetivação da medida mencionada no texto foi a",A: superação da cultura patriarcal; B: influência de igrejas protestantes; C: pressão do governo revolucionário; D: fragilidade das oligarquias regionais; E: campanha de extensão da cidadania
79,C,2.46746,1.6304,0.11594,2018,"A quem não basta pouco, nada basta.EPICURO. Os pensadores. São Paulo: Abril Cultural, 1985.Remanescente do período helenístico, a máxima apresentada valoriza a seguinte virtude:","A: Esperança, tida como confiança no porvir; B: Justiça, interpretada como retidão de caráter; C: Temperança, marcada pelo domínio da vontade; D: Coragem, definida como fortitude na dificuldade; E: Prudência, caracterizada pelo c orreto uso da razão"
80,B,3.51503,1.15937,0.19457,2018,"Em algumas línguas de Moçambique não existe a palavra “pobre”. O indivíduo é pobre quando não tem parentes. A pobreza é a solidão, a ruptura das relações familiares que, na sociedade rural, servem de apoio à sobrevivência. Os consultores internacionais, especialistas em elaborar relatórios sobre a miséria, talvez não tenham em conta o impacto dramático da destruição dos laços familiares e das relações de entreajuda. Nações inteiras estão tornando-se “órfãs”, e a mendicidade parece ser a única via de uma agonizante sobrevivência.COUTO, M. E se Obama fosse africano? & outras intervenções.  Portugal: Caminho, 2009 (adaptado).Em uma leitura que extrapola a esfera econômica, o autor associa o acirramento da pobreza à",A: afirmação das origens ancestrais; B: fragilização das redes de sociabilidade; C: padronização das políticas educacionais; D: fragmentação das propriedades agrícolas; E: globalizaç ão das tecnologias de comunicação
