numero_questao,gabarito,nu_param_B,enunciado,alternativas,ano,enunciado_limpo,alternativas_limpo
45,D,1.33455," Calendário medieval, século XV. Disponível em: www.ac-grenoble.fr. Acesso em: 10 maio 2012.Os calendários são fontes históricas importantes, na medida em que expressam a concepção de tempo das sociedades. Essas imagens compõem um calendário medieval (1460-1475) e cada uma delas representa um mês, de janeiro a dezembro. Com base na análise do calendário, apreende-se uma concepção de tempo","A: cíclica, marcada pelo mito arcaico do eterno retorno; B: humanista, identificada pelo controle das horas de atividade por parte do trabalhador ; C: escatológica, associada a uma visão religiosa sobre o trabalho; D: natural, expressa pelo trabalho realizado de acordo com as estações do ano; E: romântica, definida por uma visão bucólica da sociedade",2015,ac acesso análise apreende base cada calendário calendários compõem concepção dezembro disponível expressam fontes fr grenoble históricas imagens importantes janeiro maio medida medieval mês representa sociedades século tempo www xv,A: arcaico cíclica eterno marcada mito retorno; B: atividade controle horas humanista identificada parte trabalhador; C: associada escatológica religiosa sobre trabalho visão; D: acordo ano estações expressa natural realizado trabalho; E: bucólica definida romântica sociedade visão
19,B,0.89353," O processo de concentração urbana no Brasil em determinados locais teve momentos de maior intensidade e, ao que tudo indica, atualmente passa por uma desaceleração no ritmo de crescimento populacional nos grandes centros urbanos.BAENINGER, R. Cidades e metrópoles: a desaceleração no crescimento populacional e novos arranjos regionais. Disponível em: www.sbsociologia.com.br. Acesso em: 12 dez. 2012 (adaptado). Uma causa para o processo socioespacial mencionado no texto é o(a)",A: carência de matérias-primas; B: degradação da rede rodoviária; C: aumento do crescimento vegetativo; D: centralização do poder político; E: realocação da atividade industrial,2015,acesso adaptado arranjos atualmente baeninger br brasil causa centros cidades concentração crescimento desaceleração determinados dez disponível grandes indica intensidade locais maior mencionado metrópoles momentos novos passa populacional processo r regionais ritmo sbsociologia socioespacial texto tudo urbana urbanos www,A: carência matérias primas; B: degradação rede rodoviária; C: aumento crescimento vegetativo; D: centralização poder político; E: atividade industrial realocação
41,C,1.54535,"Trasímaco estava impaciente porque Sócrates e os seus amigos presumiam que a justiça era algo real e importante. Trasímaco negava isso. Em seu entender, as pessoas acreditavam no certo e no errado apenas por terem sido ensinadas a obedecer às regras da sua sociedade. No entanto, essas regras não passavam de invenções humanas.RACHELS, J. Problemas da filosofia . Lisboa: Gradiva, 2009.O sofista Trasímaco, personagem imortalizado no diálogo A República, de Platão, sustentava que a correlação entre justiça e ética é resultado de",A: determinações biológicas impregnadas na natureza humana; B: verdades objetivas com fundamento anterior aos interesses sociais; C: mandamentos divinos inquestionáveis legados das tradições antigas; D: convenções sociais resultantes de interesses humanos contingentes; E: sentimentos experimentados diante de determinadas atitudes humanas,2015,acreditavam algo amigos apenas certo correlação diálogo ensinadas entanto entender errado filosofia gradiva humanas imortalizado impaciente importante invenções j justiça lisboa negava obedecer passavam personagem pessoas platão porque presumiam problemas rachels real regras república resultado sido sociedade sofista sustentava sócrates terem trasímaco ética,A: biológicas determinações humana impregnadas natureza; B: anterior fundamento interesses objetivas sociais verdades; C: antigas divinos inquestionáveis legados mandamentos tradições; D: contingentes convenções humanos interesses resultantes sociais; E: atitudes determinadas diante experimentados humanas sentimentos
5,A,1.43814,"Em sociedade de origens tão nitidamente personalistas como a nossa, é compreensível que os simples vínculos de pessoa a pessoa, independentes e até exclusivos de qualquer tendência para a cooperação autêntica entre os indivíduos, tenham sido quase sempre os mais decisivos. As agregações e relações pessoais, embora por vezes precárias, e, de outro lado, as lutas entre facções, entre famílias, entre regionalismos, faziam dela um todo incoerente e amorfo. O peculiar da vida brasileira parece ter sido, por essa época, uma acentuação singularmente enérgica do afetivo, do irracional, do passional e uma estagnação ou antes uma atrofia correspondente das qualidades ordenadoras, disciplinadoras, racionalizadoras.HOLANDA, S. B. Raízes do Brasil. São Paulo: Cia. das Letras, 1995.Um traço formador da vida pública brasileira expressa-se, segundo a análise do historiador, na",A: rigidez das normas jurídicas; B: prevalência dos interesses privados; C: solidez da organização institucional; D: legitimidade das ações burocráticas; E: estabilidade das estruturas políticas,2015,acentuação afetivo agregações amorfo antes análise atrofia autêntica b brasil brasileira cia compreensível cooperação correspondente decisivos disciplinadoras embora enérgica estagnação exclusivos expressa facções famílias faziam formador historiador holanda incoerente independentes indivíduos irracional lado letras lutas nitidamente ordenadoras origens outro parece passional paulo peculiar personalistas pessoa pessoais precárias pública qualidades qualquer quase racionalizadoras raízes regionalismos relações s segundo sempre sido simples singularmente sociedade tendência ter todo traço tão vezes vida vínculos época,A: jurídicas normas rigidez; B: interesses prevalência privados; C: institucional organização solidez; D: ações burocráticas legitimidade; E: estabilidade estruturas políticas
33,A,1.77395,"O Projeto Nova Cartografia Social da Amazônia ensina indígenas, quilombolas e outros grupos tradicionais a empregar o GPS e técnicas modernas de georreferenciamento para produzir mapas artesanais, mas bastante precisos, de suas próprias terras.LOPES, R. J. O novo mapa da floresta. Folha de S. Paulo , 7 maio 2011 (adaptado).A existência de um projeto como o apresentado no texto indica a importância da cartografia como elemento promotor da",A: expansão da fronteira agrícola; B: remoção de populações nativas; C: superação da condição de pobreza; D: valorização de identidades coletivas; E: implantação de modernos projetos agroindustriais,2015,adaptado amazônia apresentado artesanais bastante cartografia elemento empregar ensina existência floresta folha georreferenciamento gps grupos importância indica indígenas j lopes maio mapa mapas modernas nova novo outros paulo precisos produzir projeto promotor próprias quilombolas r s social terras texto tradicionais técnicas,A: agrícola expansão fronteira; B: nativas populações remoção; C: condição pobreza superação; D: coletivas identidades valorização; E: agroindustriais implantação modernos projetos
8,C,1.1553,"Todo o poder criativo da mente se reduz a nada mais do que a faculdade de compor, transpor, aumentar ou diminuir os materiais que nos fornecem os sentidos e a experiência. Quando pensamos em uma montanha de ouro, não fazemos mais do que juntar duas ideias consistentes, ouro e montanha, que já conhecíamos. Podemos conceber um cavalo virtuoso, porque somos capazes de conceber a virtude a partir de nossos próprios sentimentos, e podemos unir a isso a figura e a forma de um cavalo, animal que nos é familiar. HUME, D. Investigação sobre o entendimento humano . São Paulo: Abril Cultural, 1995.                                     Hume estabelece um vínculo entre pensamento e impressão ao considerar que",A: os conteúdos das ideias no intelecto têm origem na sensação; B: o espírito é capaz de classificar os dados da percepção sensível; C: as ideias fracas resultam de experiências sensoriais determinadas pelo acaso; D: os sentimentos ordenam como os pensamentos devem ser processados na memória; E: as ideias têm como fonte específica o sentimento cujos dados são colhidos na empiria,2015,abril animal aumentar capazes cavalo compor conceber conhecíamos considerar consistentes criativo cultural d diminuir duas entendimento estabelece experiência faculdade familiar fazemos figura forma fornecem humano hume ideias impressão investigação juntar materiais mente montanha nada ouro partir paulo pensamento pensamos podemos poder porque próprios reduz sentidos sentimentos sobre todo transpor unir virtude virtuoso vínculo,A: conteúdos ideias intelecto origem sensação têm; B: capaz classificar dados espírito percepção sensível; C: acaso determinadas experiências fracas ideias resultam sensoriais; D: devem memória ordenam pensamentos processados sentimentos; E: colhidos cujos dados empiria específica fonte ideias sentimento têm
24,C,1.44856,"Ora, em todas as coisas ordenadas a algum fim, é preciso haver algum dirigente, pelo qual se atinja diretamente o devido fim. Com efeito, um navio, que se move para diversos lados pelo impulso dos ventos contrários, não chegaria ao fim de destino, se por indústria do piloto não fosse dirigido ao porto; ora, tem o homem um fim, para o qual se ordenam toda a sua vida e ação. Acontece, porém, agirem os homens de modos diversos em vista do fim, o que a própria diversidade dos esforços e ações humanas comprova. Portanto, precisa o homem de um dirigente para o fim.AQUINO, T. Do reino ou do governo dos homens: ao rei do Chipre. Escritos políticos de São Tomás de Aquino . Petrópolis: Vozes, 1995 (adaptado).No trecho citado, Tomás de Aquino justifica a monarquia como o regime de governo capaz de",A: refrear os movimentos religiosos contestatórios; B: promover a atuação da sociedade civil na vida política.; C: unir a sociedade tendo em vista a realização do bem comum; D: reformar a religião por meio do retorno à tradição helenística; E: dissociar a relação política entre os poderes temporal e espiritual,2015,acontece adaptado agirem algum aquino atinja ação ações capaz chegaria chipre citado coisas comprova contrários destino devido diretamente dirigente dirigido diversidade diversos efeito escritos esforços fim governo homem homens humanas impulso indústria justifica lados modos monarquia move navio ora ordenadas ordenam petrópolis piloto políticos portanto porto porém precisa preciso própria regime rei reino t toda todas tomás trecho ventos vida vista vozes,A: contestatórios movimentos refrear religiosos; B: atuação civil política promover sociedade vida; C: bem comum realização sociedade tendo unir vista; D: helenística meio reformar religião retorno tradição; E: dissociar espiritual poderes política relação temporal
38,D,1.2222,"A Justiça Eleitoral foi criada em 1932, como parte de uma ampla reforma no processo eleitoral incentivada pela Revolução de 1930. Sua criação foi um grande avanço institucional, garantindo que as eleições tivessem o aval de um órgão teoricamente imune à influência dos mandatários.TAYLOR, M. Justiça Eleitoral. In: AVRITZER, L.; ANASTASIA, F. Reforma política no Brasil. Belo Horizonte: UFMG, 2006 (adaptado).Em relação ao regime democrático no país, a instituição analisada teve o seguinte papel:",A: Implementou o voto direto para presidente; B: Combateu as fraudes sistemáticas nas apurações; C: Alterou as regras para as candidaturas na ditadura; D: Impulsionou as denúncias de corrupção administrativa; E: Expandiu a participação com o fim do critério censitário.,2015,adaptado ampla analisada anastasia aval avanço avritzer belo brasil criada criação democrático eleitoral eleições f garantindo grande horizonte imune in incentivada influência institucional instituição justiça l m mandatários papel parte país política processo reforma regime relação revolução seguinte taylor teoricamente ufmg órgão,A: direto implementou presidente voto; B: apurações combateu fraudes sistemáticas; C: alterou candidaturas ditadura regras; D: administrativa corrupção denúncias impulsionou; E: censitário critério expandiu fim participação
40,D,2.53802,"ZIRALDO. 20 anos de prontidão. In: LEMOS, R. (Org.). Uma história do Brasil através da caricatura (1840-2001) . Rio de Janeiro: Letras & Expressões, 2001.No período de 1964 a 1985, a estratégia do Regime Militar abordada na charge foi caracterizada pela",A: priorização da segurança nacional; B: captação de financiamentos estrangeiros; C: execução de cortes nos gastos públicos; D: nacionalização de empresas multinacionais.; E: promoção de políticas de distribuição de renda,2015,abordada anos através brasil caracterizada caricatura charge estratégia expressões história in janeiro lemos letras militar org período prontidão r regime rio ziraldo,A: nacional priorização segurança; B: captação estrangeiros financiamentos; C: cortes execução gastos públicos; D: empresas multinacionais nacionalização; E: distribuição políticas promoção renda
11,D,0.36748,"Bandeira do Brasil, és hoje a única. Hasteada a esta hora em todo o território nacional, única e só, não há lugar no coração do Brasil para outras flâmulas, outras bandeiras, outros símbolos. Os brasileiros se reuniram em torno do Brasil e decretaram desta vez com determinação de não consentir que a discórdia volte novamente a dividi-lo!Discurso do Ministro da Justiça Francisco Campos na cerimônia da festa da bandeira, em novembro de 1937. Apud OLIVEN, G. R. A parte e o todo : a diversidade cultural do Brasil Nação. Petrópolis: Vozes, 1992.O discurso proferido em uma celebração em que as bandeiras estaduais eram queimadas diante da bandeira nacional revela o pacto nacional proposto pelo Estado Novo, que se associa à","A: supressão das diferenças socioeconômicas entre as regiões do Brasil, priorizando as regiões estaduais carentes; B: orientação do regime quanto ao reforço do federalismo, espelhando-se na experiência política norte-americana; C: adoção de práticas políticas autoritárias, considerando a contenção dos interesses regionais dispersivos; D: propagação de uma cultura política avessa aos ritos cívicos, cultivados pela cultura regional brasileira; E: defesa da unidade do território nacional, ameaçado por movimentos separatistas contrários à política varguista",2015,apud associa bandeira bandeiras brasil brasileiros campos celebração cerimônia consentir coração cultural decretaram desta determinação diante discurso discórdia diversidade dividi estado estaduais festa flâmulas francisco g hasteada hoje hora justiça lo lugar ministro nacional nação novamente novembro novo oliven outras outros pacto parte petrópolis proferido proposto queimadas r reuniram revela símbolos território todo torno vez volte vozes és única,A: brasil carentes diferenças estaduais priorizando regiões socioeconômicas supressão; B: americana espelhando experiência federalismo norte orientação política quanto reforço regime; C: adoção autoritárias considerando contenção dispersivos interesses políticas práticas regionais; D: avessa brasileira cultivados cultura cívicos política propagação regional ritos; E: ameaçado contrários defesa movimentos nacional política separatistas território unidade varguista
28,C,1.30384,"Atualmente, as represálias econômicas contra as empresas de informática norte-americanas continuam. A Alemanha proibiu um aplicativo dos Estados Unidos de compartilhamento de carros; na China, o governo explicou que os equipamentos e serviços de informática norte-americanos representam uma ameaça, pedindo que as empresas estatais não recorram a eles.SCHILLER, D. Disponível em: www.diplomatique.org.br. Acesso em: 11 nov. 2014 (adaptado).As ações tomadas pelos países contra a espionagem revelam preocupação com o(a)",A: subsídio industrial; B: hegemonia cultural; C: protecionismo dos mercados; D: desemprego tecnológico; E: segurança dos dados,2015,acesso adaptado alemanha ameaça americanas americanos aplicativo atualmente ações br carros china compartilhamento continuam contra d diplomatique disponível econômicas empresas equipamentos espionagem estados estatais explicou governo informática norte nov org países pedindo preocupação proibiu recorram representam represálias revelam schiller serviços tomadas unidos www,A: industrial subsídio; B: cultural hegemonia; C: mercados protecionismo; D: desemprego tecnológico; E: dados segurança
17,C,1.21258,"TEXTO ICanudos não se rendeu. Exemplo único em toda a história, resistiu até o esgotamento completo. Vencido palmo a palmo, na precisão integral do termo, caiu no dia 5, ao entardecer, quando caíram os seus últimos defensores, que todos morreram. Eram quatro apenas: um velho, dois homens feitos e uma criança, na frente dos quais rugiam raivosamente cinco mil soldados.CUNHA, E. Os sertões. Rio de Janeiro: Francisco Alves, 1987.TEXTO IINa trincheira, no centro do reduto, permaneciam quatro fanáticos sobreviventes do extermínio. Era um velho, coxo por ferimento e usando uniforme da Guarda Católica, um rapaz de 16 a 18 anos, um preto alto e magro, e um caboclo. Ao serem intimados para deporem as armas, investiram com enorme fúria. Assim estava terminada e de maneira tão trágica a sanguinosa guerra, que o banditismo e o fanatismo traziam acesa por longos meses, naquele recanto do território nacional.SOARES, H. M. A Guerra de Canudos. Rio de Janeiro: Altina, 1902.Os relatos do último ato da Guerra de Canudos fazem uso de representações que se perpetuariam na memória construída sobre o conflito. Nesse sentido, cada autor caracterizou a atitude dos sertanejos, respectivamente, como fruto da",A: manipulação e incompetência; B: ignorância e solidariedade; C: hesitação e obstinação; D: esperança e valentia; E: bravura e loucura,2015,acesa altina alto alves anos apenas armas assim atitude ato autor banditismo caboclo cada caiu canudos caracterizou católica caíram centro cinco completo conflito construída coxo criança cunha defensores deporem dia dois enorme entardecer esgotamento exemplo extermínio fanatismo fanáticos fazem feitos ferimento francisco frente fruto fúria guarda guerra h história homens icanudos iina integral intimados investiram janeiro longos m magro maneira memória meses mil morreram nacional naquele nesse palmo permaneciam perpetuariam precisão preto quais quatro raivosamente rapaz recanto reduto relatos rendeu representações resistiu respectivamente rio rugiam sanguinosa sentido serem sertanejos sertões soares sobre sobreviventes soldados terminada termo território texto toda todos traziam trincheira trágica tão uniforme usando uso velho vencido último últimos único,A: incompetência manipulação; B: ignorância solidariedade; C: hesitação obstinação; D: esperança valentia; E: bravura loucura
