numero_questao,gabarito,nu_param_B,enunciado,alternativas,ano
45,D,1.33455," Calendário medieval, século XV. Disponível em: www.ac-grenoble.fr. Acesso em: 10 maio 2012.Os calendários são fontes históricas importantes, na medida em que expressam a concepção de tempo das sociedades. Essas imagens compõem um calendário medieval (1460-1475) e cada uma delas representa um mês, de janeiro a dezembro. Com base na análise do calendário, apreende-se uma concepção de tempo","A: cíclica, marcada pelo mito arcaico do eterno retorno; B: humanista, identificada pelo controle das horas de atividade por parte do trabalhador ; C: escatológica, associada a uma visão religiosa sobre o trabalho; D: natural, expressa pelo trabalho realizado de acordo com as estações do ano; E: romântica, definida por uma visão bucólica da sociedade",2015
19,B,0.89353," O processo de concentração urbana no Brasil em determinados locais teve momentos de maior intensidade e, ao que tudo indica, atualmente passa por uma desaceleração no ritmo de crescimento populacional nos grandes centros urbanos.BAENINGER, R. Cidades e metrópoles: a desaceleração no crescimento populacional e novos arranjos regionais. Disponível em: www.sbsociologia.com.br. Acesso em: 12 dez. 2012 (adaptado). Uma causa para o processo socioespacial mencionado no texto é o(a)",A: carência de matérias-primas; B: degradação da rede rodoviária; C: aumento do crescimento vegetativo; D: centralização do poder político; E: realocação da atividade industrial,2015
41,C,1.54535,"Trasímaco estava impaciente porque Sócrates e os seus amigos presumiam que a justiça era algo real e importante. Trasímaco negava isso. Em seu entender, as pessoas acreditavam no certo e no errado apenas por terem sido ensinadas a obedecer às regras da sua sociedade. No entanto, essas regras não passavam de invenções humanas.RACHELS, J. Problemas da filosofia . Lisboa: Gradiva, 2009.O sofista Trasímaco, personagem imortalizado no diálogo A República, de Platão, sustentava que a correlação entre justiça e ética é resultado de",A: determinações biológicas impregnadas na natureza humana; B: verdades objetivas com fundamento anterior aos interesses sociais; C: mandamentos divinos inquestionáveis legados das tradições antigas; D: convenções sociais resultantes de interesses humanos contingentes; E: sentimentos experimentados diante de determinadas atitudes humanas,2015
5,A,1.43814,"Em sociedade de origens tão nitidamente personalistas como a nossa, é compreensível que os simples vínculos de pessoa a pessoa, independentes e até exclusivos de qualquer tendência para a cooperação autêntica entre os indivíduos, tenham sido quase sempre os mais decisivos. As agregações e relações pessoais, embora por vezes precárias, e, de outro lado, as lutas entre facções, entre famílias, entre regionalismos, faziam dela um todo incoerente e amorfo. O peculiar da vida brasileira parece ter sido, por essa época, uma acentuação singularmente enérgica do afetivo, do irracional, do passional e uma estagnação ou antes uma atrofia correspondente das qualidades ordenadoras, disciplinadoras, racionalizadoras.HOLANDA, S. B. Raízes do Brasil. São Paulo: Cia. das Letras, 1995.Um traço formador da vida pública brasileira expressa-se, segundo a análise do historiador, na",A: rigidez das normas jurídicas; B: prevalência dos interesses privados; C: solidez da organização institucional; D: legitimidade das ações burocráticas; E: estabilidade das estruturas políticas,2015
33,A,1.77395,"O Projeto Nova Cartografia Social da Amazônia ensina indígenas, quilombolas e outros grupos tradicionais a empregar o GPS e técnicas modernas de georreferenciamento para produzir mapas artesanais, mas bastante precisos, de suas próprias terras.LOPES, R. J. O novo mapa da floresta. Folha de S. Paulo , 7 maio 2011 (adaptado).A existência de um projeto como o apresentado no texto indica a importância da cartografia como elemento promotor da",A: expansão da fronteira agrícola; B: remoção de populações nativas; C: superação da condição de pobreza; D: valorização de identidades coletivas; E: implantação de modernos projetos agroindustriais,2015
8,C,1.1553,"Todo o poder criativo da mente se reduz a nada mais do que a faculdade de compor, transpor, aumentar ou diminuir os materiais que nos fornecem os sentidos e a experiência. Quando pensamos em uma montanha de ouro, não fazemos mais do que juntar duas ideias consistentes, ouro e montanha, que já conhecíamos. Podemos conceber um cavalo virtuoso, porque somos capazes de conceber a virtude a partir de nossos próprios sentimentos, e podemos unir a isso a figura e a forma de um cavalo, animal que nos é familiar. HUME, D. Investigação sobre o entendimento humano . São Paulo: Abril Cultural, 1995.                                     Hume estabelece um vínculo entre pensamento e impressão ao considerar que",A: os conteúdos das ideias no intelecto têm origem na sensação; B: o espírito é capaz de classificar os dados da percepção sensível; C: as ideias fracas resultam de experiências sensoriais determinadas pelo acaso; D: os sentimentos ordenam como os pensamentos devem ser processados na memória; E: as ideias têm como fonte específica o sentimento cujos dados são colhidos na empiria,2015
24,C,1.44856,"Ora, em todas as coisas ordenadas a algum fim, é preciso haver algum dirigente, pelo qual se atinja diretamente o devido fim. Com efeito, um navio, que se move para diversos lados pelo impulso dos ventos contrários, não chegaria ao fim de destino, se por indústria do piloto não fosse dirigido ao porto; ora, tem o homem um fim, para o qual se ordenam toda a sua vida e ação. Acontece, porém, agirem os homens de modos diversos em vista do fim, o que a própria diversidade dos esforços e ações humanas comprova. Portanto, precisa o homem de um dirigente para o fim.AQUINO, T. Do reino ou do governo dos homens: ao rei do Chipre. Escritos políticos de São Tomás de Aquino . Petrópolis: Vozes, 1995 (adaptado).No trecho citado, Tomás de Aquino justifica a monarquia como o regime de governo capaz de",A: refrear os movimentos religiosos contestatórios; B: promover a atuação da sociedade civil na vida política.; C: unir a sociedade tendo em vista a realização do bem comum; D: reformar a religião por meio do retorno à tradição helenística; E: dissociar a relação política entre os poderes temporal e espiritual,2015
38,D,1.2222,"A Justiça Eleitoral foi criada em 1932, como parte de uma ampla reforma no processo eleitoral incentivada pela Revolução de 1930. Sua criação foi um grande avanço institucional, garantindo que as eleições tivessem o aval de um órgão teoricamente imune à influência dos mandatários.TAYLOR, M. Justiça Eleitoral. In: AVRITZER, L.; ANASTASIA, F. Reforma política no Brasil. Belo Horizonte: UFMG, 2006 (adaptado).Em relação ao regime democrático no país, a instituição analisada teve o seguinte papel:",A: Implementou o voto direto para presidente; B: Combateu as fraudes sistemáticas nas apurações; C: Alterou as regras para as candidaturas na ditadura; D: Impulsionou as denúncias de corrupção administrativa; E: Expandiu a participação com o fim do critério censitário.,2015
40,D,2.53802,"ZIRALDO. 20 anos de prontidão. In: LEMOS, R. (Org.). Uma história do Brasil através da caricatura (1840-2001) . Rio de Janeiro: Letras & Expressões, 2001.No período de 1964 a 1985, a estratégia do Regime Militar abordada na charge foi caracterizada pela",A: priorização da segurança nacional; B: captação de financiamentos estrangeiros; C: execução de cortes nos gastos públicos; D: nacionalização de empresas multinacionais.; E: promoção de políticas de distribuição de renda,2015
11,D,0.36748,"Bandeira do Brasil, és hoje a única. Hasteada a esta hora em todo o território nacional, única e só, não há lugar no coração do Brasil para outras flâmulas, outras bandeiras, outros símbolos. Os brasileiros se reuniram em torno do Brasil e decretaram desta vez com determinação de não consentir que a discórdia volte novamente a dividi-lo!Discurso do Ministro da Justiça Francisco Campos na cerimônia da festa da bandeira, em novembro de 1937. Apud OLIVEN, G. R. A parte e o todo : a diversidade cultural do Brasil Nação. Petrópolis: Vozes, 1992.O discurso proferido em uma celebração em que as bandeiras estaduais eram queimadas diante da bandeira nacional revela o pacto nacional proposto pelo Estado Novo, que se associa à","A: supressão das diferenças socioeconômicas entre as regiões do Brasil, priorizando as regiões estaduais carentes; B: orientação do regime quanto ao reforço do federalismo, espelhando-se na experiência política norte-americana; C: adoção de práticas políticas autoritárias, considerando a contenção dos interesses regionais dispersivos; D: propagação de uma cultura política avessa aos ritos cívicos, cultivados pela cultura regional brasileira; E: defesa da unidade do território nacional, ameaçado por movimentos separatistas contrários à política varguista",2015
28,C,1.30384,"Atualmente, as represálias econômicas contra as empresas de informática norte-americanas continuam. A Alemanha proibiu um aplicativo dos Estados Unidos de compartilhamento de carros; na China, o governo explicou que os equipamentos e serviços de informática norte-americanos representam uma ameaça, pedindo que as empresas estatais não recorram a eles.SCHILLER, D. Disponível em: www.diplomatique.org.br. Acesso em: 11 nov. 2014 (adaptado).As ações tomadas pelos países contra a espionagem revelam preocupação com o(a)",A: subsídio industrial; B: hegemonia cultural; C: protecionismo dos mercados; D: desemprego tecnológico; E: segurança dos dados,2015
17,C,1.21258,"TEXTO ICanudos não se rendeu. Exemplo único em toda a história, resistiu até o esgotamento completo. Vencido palmo a palmo, na precisão integral do termo, caiu no dia 5, ao entardecer, quando caíram os seus últimos defensores, que todos morreram. Eram quatro apenas: um velho, dois homens feitos e uma criança, na frente dos quais rugiam raivosamente cinco mil soldados.CUNHA, E. Os sertões. Rio de Janeiro: Francisco Alves, 1987.TEXTO IINa trincheira, no centro do reduto, permaneciam quatro fanáticos sobreviventes do extermínio. Era um velho, coxo por ferimento e usando uniforme da Guarda Católica, um rapaz de 16 a 18 anos, um preto alto e magro, e um caboclo. Ao serem intimados para deporem as armas, investiram com enorme fúria. Assim estava terminada e de maneira tão trágica a sanguinosa guerra, que o banditismo e o fanatismo traziam acesa por longos meses, naquele recanto do território nacional.SOARES, H. M. A Guerra de Canudos. Rio de Janeiro: Altina, 1902.Os relatos do último ato da Guerra de Canudos fazem uso de representações que se perpetuariam na memória construída sobre o conflito. Nesse sentido, cada autor caracterizou a atitude dos sertanejos, respectivamente, como fruto da",A: manipulação e incompetência; B: ignorância e solidariedade; C: hesitação e obstinação; D: esperança e valentia; E: bravura e loucura,2015
2,E,0.64189,"TEXTO IEm todo o país a lei de 13 de maio de 1888 libertou poucos negros em relação à população de cor. A maioria já havia conquistado a alforria antes de 1888, por meio de estratégias possíveis. No entanto, a importância histórica da lei de 1888 não pode ser mensurada apenas em termos numéricos. O impacto que a extinção da escravidão causou numa sociedade constituída a partir da legitimidade da propriedade sobre a pessoa não cabe em cifras.ALBUQUERQUE, W. O jogo da diss imulação: Abolição e cidadania negra no Brasil. São Paulo: Cia. das Letras, 2009 (adaptado).TEXT O IINos anos imediatamente anteriores à Abolição, a população livre do Rio de Janeiro se tornou mais numerosa e diversificada. Os escravos, bem menos numerosos que antes, e com os africanos mais aculturados, certamente não se distinguiam muito facilmente dos libertos e dos pretos e pardos livres habitantes da cidade. Também já não é razoável presumir que uma pessoa de cor seja provavelmente cativa, pois os negros libertos e livres poderiam ser encontrados em toda parte.CHALHOUB, S. V isões da liberdade: uma história das últimas décadas da escravidão na Corte. São Paulo: Cia. das Letras, 1990 (adaptado).Sobre o fim da escravidão no Brasil, o elemento destacado no Texto I que complementa os argumentos apresentados no Texto II é o(a)",A: variedade das estratégias de resistência dos cativos; B: controle jurídico exercido pelos proprietários; C: inovação social representada pela lei; D: ineficácia prática da libertação; E: significado político da Abolição,2015
9,E,0.03534,"A participação da África na Segunda Guerra Mundial deve ser apreciada sob a ótica da escolha entre vários demônios. O seu engajamento não foi um processo de colaboração com o imperialismo, mas uma luta contra uma forma de hegemoni a ainda mais perigosa.MAZRUI, A. “Procurai primeiramente o reino do político...”. In: MAZRUI, A.; WONDJI, C. (Org.). História geral da África: África desde 1925. Brasília: Unesco, 2010. Para o autor, a “forma de hegemonia” e uma de suas características que explicam o engajamento dos africanos no processo analisado foram:",A: Comunismo / rejeição da democracia liberal; B: Capitalismo / devastação do ambiente natural; C: Fascismo / adoção do determinismo biológico; D: Socialismo / planificação da economia nacional; E: Colonialismo / imposição da missão civilizatória,2015
15,D,1.11385,"Não nos resta a menor dúvida de que a principal contribuição dos diferentes tipos de movimentos sociais brasileiros nos últimos vinte anos foi no plano da reconstrução do processo de democratização do país. E não se trata apenas da reconstrução do regime político, da retomada da democracia e do fim do Regime Militar. Trata-se da reconstrução ou construção de novos rumos para a cultura do país, do preenchimento de vazios na condução da luta pela redemocratização, constituindo-se como agentes interlocutores que dialogam diretamente com a população e com o Estado.GOHN, M. G. M. Os sem-terras, ONGs e cidadania. São Paulo: Cortez, 2003 (adaptado).No processo da redemocratização brasileira, os novos movimentos sociais contribuíram para",A: diminuir a legitimidade dos novos partidos políticos então criados; B: tornar a democracia um valor social que ultrapassa os momentos eleitorais; C: difundir a democracia representativa como objetivo fundamental da luta política; D: ampliar as disputas pela hegemonia das entidades de trabalhadores com os sindicatos; E: fragmentar as lutas políticas dos diversos atores sociais frente ao Estado,2015
31,C,1.4133,"A natureza fez os homens tão iguais, quanto às faculdades do corpo e do espírito, que, embora por vezes se encontre um homem manifestamente mais forte de corpo, ou de espírito mais vivo do que outro, mesmo assim, quando se considera tudo isto em conjunto, a diferença entre um e outro homem não é suficientemente considerável para que um deles possa com base nela reclamar algum benefício a que outro não possa igualmente aspirar.HOBBES, T. Leviatã. São Paulo: Martins Fontes, 2003.Para Hobbes, antes da constituição da sociedade civil, quando dois homens desejavam o mesmo objeto, eles",A: entravam em conflito; B: recorriam aos clérigos; C: consultavam os anciãos; D: apelavam aos governantes; E: exerciam a solidariedade,2015
42,C,0.30658," Figura 1. Diagrama das regiões de intemperismo para as condições brasileiras (adaptado de Peltier, 1950).400 800 1200 1600 2000 2400 280005101520253035Precipitação média anual (mm)1. Muito Fraco2. Fraco3. Moderado4. ForteTemperatura (°C)Figura 2. Mapa das regiões de intemperismo do Brasil, baseado no diagrama da Figura 1.FONTES, M. P. F. Intemperismo de rochas e minerais. In: KER, J. C. et al. (Org.). Pedologia : fundamentos. Viçosa (MG): SBCS, 2012 (adaptado).De acordo com as figuras, a intensidade de intemperismo de grau muito fraco é característica de qual tipo climático?",A: Tropical; B: Litorâneo; C: Equatorial; D: Semiárido; E: Subtropical,2015
12,E,0.89411,"O que implica o sistema da pólis é uma extraordinária preeminência da palavra sobre todos os outros instrumentos do poder. A palavra constitui o debate contraditório, a discussão, a argumentação e a polêmica. Torna-se a regra do jogo intelectual, assim como do jogo político.VERNANT, J. P. As origens do pensamento grego. Rio de Janeiro: Bertrand, 1992 (adaptado).Na configuração política da democracia grega, em especial a ateniense, a ágora  tinha por função",A: agregar os cidadãos em torno de reis que governavam em prol da cidade; B: permitir aos homens livres o acesso às decisões do Estado expostas por seus magistrados; C: constituir o lugar onde o corpo de cidadãos se reunia para deliberar sobre as questões da comunidade; D: reunir os exércitos para decidir em assembleias fechadas os rumos a serem tomados em caso de guerra; E: congregar a comunidade para eleger representantes com direito a pronunciar-se em assembleias,2015
34,C,1.4933,"No final do século XX e em razão dos avanços da ciência, produziu-se um sistema presidido pelas técnicas da informação, que passaram a exercer um papel de elo entre as demais, unindo-as e assegurando ao novo sistema uma presença planetária. Um mercado que utiliza esse sistema de técnicas avançadas resulta nessa globalização perversa.SANTOS, M. Por uma outra globalização . Rio de Janeiro: Record, 2008 (adaptado).Uma consequência para o setor produtivo e outra para o mundo do trabalho advindas das transformações citadas no texto estão presentes, respectivamente, em:",A: Eliminação das vantagens locacionais e ampliação da legislação laboral; B: Limitação dos fluxos logísticos e fortalecimento de associações sindicais; C: Diminuição dos investimentos industriais e desvalorização dos postos qualificados; D: Concentração das áreas manufatureiras e redução da jornada semanal; E: Automatização dos processos fabris e aumento dos níveis de desemprego,2015
16,A,2.13138,"Os movimentos de massa constituem-se no deslocamento de material (solo e rocha) vertente abaixo pela influência da gravidade. As condições que favorecem os movimentos de massa dependem principalmente da estrutura geológica, da declividade da vertente, do regime de chuvas, da perda de vegetação e da atividade antrópica.BIGARELLA, J. J.  Estrutura e origem das paisagens tropicais e subtropicais . Florianópolis: UFSC, 2003 (adaptado).Em relação ao processo descrito, sua ocorrência é minimizada em locais onde há",A: exposição do solo; B: drenagem eficiente; C: rocha matriz resistente; D: agricultura mecanizada; E: média pluviométrica elevada,2015
10,A,2.02381,"SUERTEGARAY, D. M. A. (Org.). Terra : feições ilustradas. Porto Alegre: EdUFRGS, 2003 (adaptado).A imagem representa o resultado da erosão que ocorre em rochas nos leitos dos rios, que decorre do processo natural de","A: fraturamento geológico, derivado da força dos agentes internos; B: solapamento de camadas de argilas, transportadas pela correnteza; C: movimento circular de seixos e areias, arrastados por águas turbilhonares; D: decomposição das camadas sedimentares, resultante da alteração química; E: assoreamento no fundo do rio, proporcionado pela chegada de material sedimentar",2015
13,D,1.05194,"Algumas regiões do Brasil passam por uma crise de água por causa da seca. Mas, uma região de Minas Gerais está enfrentando a falta de água no campo tanto em tempo de chuva como na seca.  As veredas estão secando no norte e no noroeste mineiro. Ano após ano, elas vêm perdendo a capacidade de ser a caixa-d’água do grande sertão de Minas.VIEIRA, C. Degradação do solo causa perda de fontes de água de famílias de MG . Disponível em: http://g1.globo.com. Acesso em: 1 nov.  2014.As veredas têm um papel fundamental no equilíbrio hidrológico dos cursos de água no ambiente do Cerrado, pois",A: colaboram para a formação de vegetação xerófila; B: formam os leques aluviais nas planícies das bacias; C: fornecem sumidouro para as águas de recarga da bacia; D: contribuem para o aprofundamento dos talvegues à jusante; E: constituem um sistema represador da água na chapada,2015
4,E,0.60943,"Tanto potencial poderia ter ficado pelo caminho, se não fosse o reforço em tecnologia que um gaúcho buscou. Há pouco mais de oito anos, ele usava o bico da botina para cavoucar a terra e descobrir o nível de umidade do solo, na tentativa de saber o momento ideal para acionar os pivôs de irrigação. Até que conheceu uma estação meteorológica que, instalada na propriedade, ajuda a determinar a quantidade de água de que a planta necessita. Assim, quando inicia um plantio, o agricultor já entra no site do sistema e cadastra a área, o pivô, a cultura, o sistema de plantio, o espaçamento entre linhas e o número de plantas, para então receber recomendações diretamente dos técnicos da universidade.CAETANO, M. O valor de cada gota. Globo Rural , n. 312, out. 2011.A implementação das tecnologias mencionadas no texto garante o avanço do processo de ",A: monitoramento da produç ão; B: valorização do preço da terra; C: correção dos fatores climáticos; D: divisão de tarefas na propriedade; E: estabilização da fertilidade do solo,2015
44,B,0.56914,"A filosofia grega parece começar com uma ideia absurda, com a proposição: a água é a origem e a matriz de todas as coisas. Será mesmo necessário deter-nos nela e levá-la a sério? Sim, e por três razões: em primeiro lugar, porque essa proposição enuncia algo sobre a origem das coisas; em segundo lugar, porque o faz sem imagem e fabulação; e enfim, em terceiro lugar, porque nela, embora apenas em estado de crisálida, está contido o pensamento: Tudo é um.NIETZSCHE, F. Crítica moderna. In: Os pré-socráticos. São Paulo: Nova Cultural, 1999.O que, de acordo com Nietzsche, caracteriza o surgimento da filosofia entre os gregos?","A: O impulso para transformar, mediante justificativas, os elementos sensíveis em verdades racionais; B: O desejo de explicar, usando metáforas, a origem dos seres e das coisas; C: A necessidade de buscar, de forma racional, a causa primeira das coisas existentes; D: A ambição de expor, de maneira metódica, as diferenças entre as coisas; E: A tentativa de justificar, a partir de elementos empíricos, o que existe no real",2015
3,A,1.16631,"Quanto ao “choque de civilizações”, é bom lembrar a carta de uma menina americana de sete anos cujo pai era piloto na Guerra do Afeganistão: ela escreveu que —  embora amasse muito seu pai — estava pronta a deixá-lo morrer, a sacrificá-lo por seu país. Quando o presidente Bush citou suas palavras, elas foram entendidas como manifestação “normal” de patriotismo americano; vamos conduzir uma experiência mental simples e imaginar uma menina árabe maometana pateticamente lendo para as câmeras as mesmas palavras a respeito do pai que lutava pelo Talibã — não é necessário pensar muito sobre qual teria sido a nossa reação.ZIZEK, S. Bem-vindo ao deserto do real. São Paulo: Bom Tempo, 2003.",A: situação imaginária proposta pelo autor explicita o desafio cultural do(a)A prática da diplomacia; B: exercício da alteridade; C: expansão da democracia; D: universalização do progresso; E: conquista da autodeterminação,2015
1,A,1.0434,"SCHWARCZ, L. M. As barbas do imperador: D. Pedro II, um monarca nos trópicos. São Paulo: Cia. das Letras, 1998 (adaptado).Essas imagens de D. Pedro II foram feitas no início dos anos de 1850, pouco mais de uma década após o Golpe da Maioridade. Considerando o contexto histórico em que foram produzidas e os elementos simbólicos destacados, essas imagens representavam um",A: jovem imaturo que agiria de forma irresponsável; B: imperador adulto que governaria segundo as leis; C: líder guerreiro que comandaria as vitórias militares; D: soberano religioso que acataria a autoridade papal; E: monarca absolutista que exerceria seu autoritarismo,2015
6,D,1.19238,"No início foram as cidades. O intelectual da Idade Média — no Ocidente — nasceu com elas. Foi com o desenvolvimento urbano ligado às funções comercial e industrial — digamos modestamente artesanal — que ele apareceu, como um desses homens de ofício que se instalavam nas cidades nas quais se impôs a divisão do trabalho. Um homem cujo ofício é escrever ou ensinar, e de preferência as duas coisas a um só tempo, um homem que, profissionalmente, tem uma atividade de professor e erudito, em resumo, um intelectual — esse homem só aparecerá com as cidades.LE GOFF, J. Os intelectuais na Idade Média . Rio de Janeiro: José Olympio, 2010.O surgimento da categoria mencionada no período em destaque no texto evidencia o(a)",A: apoio dado pela Igreja ao trabalho abstrato; B: relação entre desenvolvimento urbano e divisão do trabalho; C: importância organizacional das corporações de ofício; D: progressiva expansão da educação escolar; E: acúmulo de trabalho dos professores e eruditos,2015
